Listing Name,Review Requests %,Link,Place ID,Scrape Date
"Alice Mendelson, M.D. (SHP: Livonia)",1,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgRgvA_knxiutU,ChIJRXCdkhraJIgRgvA_knxiutU,2026-07-22
"Andres Munk, M.D. (SHP Clinic: Port Huron)",0.235,https://search.google.com/local/reviews?placeid=ChIJNQFTJx2dJYgR5lLo67wLC6Y,ChIJNQFTJx2dJYgR5lLo67wLC6Y,2026-07-21
"Andres Munk, M.D. (SHP: Sterling Heights)",0.715,https://search.google.com/local/reviews?placeid=ChIJJ5HHRP3bJIgRLPsNS08Eey8,ChIJJ5HHRP3bJIgRLPsNS08Eey8,2026-07-22
"Anthony Oddo, D.O. (SHP: Livonia)",0.4423,https://search.google.com/local/reviews?placeid=ChIJ71VxhpKyJIgRodWa4XsaX9s,ChIJ71VxhpKyJIgRodWa4XsaX9s,2026-07-22
"Anthony Oddo, D.O. (SHP: Sterling Heights)",0.5202,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgRdcGEaPkdhAg,ChIJRXCdkhraJIgRdcGEaPkdhAg,2026-07-22
"Ben Mayo, M.D. (SHP Clinic: Troy)",0.073,https://search.google.com/local/reviews?placeid=ChIJZWYp7u3DJIgR2Ns7f_x-z9s,ChIJZWYp7u3DJIgR2Ns7f_x-z9s,2026-07-22
"Ben Mayo, M.D. (SHP: Livonia)",0.6318,https://search.google.com/local/reviews?placeid=ChIJsza5JQazJIgR11tLvxJw9IY,ChIJsza5JQazJIgR11tLvxJw9IY,2026-07-22
"Ben Mayo, M.D. (SHP: Sterling Heights)",0.2952,https://search.google.com/local/reviews?placeid=ChIJazHBPerbJIgR3KYkcQX_qbk,ChIJazHBPerbJIgR3KYkcQX_qbk,2026-07-22
"Brian Kassa, D.O. (SHP: Sterling Heights)",0.8245,https://search.google.com/local/reviews?placeid=ChIJ55u1XnDbJIgRG9Y9Jedt4Mg,ChIJ55u1XnDbJIgRG9Y9Jedt4Mg,2026-07-22
"David Mendelson, M.D. (SHP: Livonia)",0.5271,https://search.google.com/local/reviews?placeid=ChIJKZX9vI2yJIgR7f82nWo1gcs,ChIJKZX9vI2yJIgR7f82nWo1gcs,2026-07-22
"David Mendelson, M.D. (SHP: Sterling Heights)",0.4729,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgRyj0q78GV3Zk,ChIJRXCdkhraJIgRyj0q78GV3Zk,2026-07-22
"Hanish Singh, M.D. (SHP: Livonia)",0.8621,https://search.google.com/local/reviews?placeid=ChIJv6qelHevJIgRQddw7ChaGm0,ChIJv6qelHevJIgRQddw7ChaGm0,2026-07-22
"Jeffrey Klein, D.P.M. (SHP: Livonia)",0.5953,https://search.google.com/local/reviews?placeid=ChIJGRurSYyyJIgRBBu5p4kazo8,ChIJGRurSYyyJIgRBBu5p4kazo8,2026-07-22
"Jeffrey Klein, D.P.M. (SHP: Sterling Heights)",0.4047,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgR3nwwf0zCzeM,ChIJRXCdkhraJIgR3nwwf0zCzeM,2026-07-21
"Jeffrey Mendelson, M.D. (SHP: Livonia)",0.3805,https://search.google.com/local/reviews?placeid=ChIJJVZxhpKyJIgRy0txszibm08,ChIJJVZxhpKyJIgRy0txszibm08,2026-07-22
"Jeffrey Mendelson, M.D. (SHP: Sterling Heights)",0.6195,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgRUW7iH0nxHCc,ChIJRXCdkhraJIgRUW7iH0nxHCc,2026-07-22
"Jeffrey Varghese, M.D. (SHP: Livonia)",0.3438,https://search.google.com/local/reviews?placeid=ChIJ6RZ1UMizJIgRTPpjvQibjXw,ChIJ6RZ1UMizJIgRTPpjvQibjXw,2026-07-22
"Jeffrey Varghese, M.D. (SHP: Sterling Heights)",0.6563,https://search.google.com/local/reviews?placeid=ChIJPaZ9HrPbJIgR7cofjS00v4s,ChIJPaZ9HrPbJIgR7cofjS00v4s,2026-07-22
"Joseph Maslak, M.D. (SHP: Livonia)",0.53,https://search.google.com/local/reviews?placeid=ChIJSwBOkSWzJIgRbwIMzKsNCd8,ChIJSwBOkSWzJIgRbwIMzKsNCd8,2026-07-21
"Joseph Maslak, M.D. (SHP: Sterling Heights)",0.47,https://search.google.com/local/reviews?placeid=ChIJ8afDlD3bJIgR61DYkyEXAZQ,ChIJ8afDlD3bJIgR61DYkyEXAZQ,2026-07-22
"Joseph Yacisen, D.O. (SHP Clinic: Port Huron)",0.3113,https://search.google.com/local/reviews?placeid=ChIJk7KZCvidJYgRGdMZvkX7Ro4,ChIJk7KZCvidJYgRGdMZvkX7Ro4,2026-07-22
"Joseph Yacisen, D.O. (SHP: Sterling Heights)",0.6887,https://search.google.com/local/reviews?placeid=ChIJCfG0nq_bJIgRpC1fw9YFu5M,ChIJCfG0nq_bJIgRpC1fw9YFu5M,2026-07-21
"Kevin Lee, M.D. (SHP Clinic: Southfield)",0.222,https://search.google.com/local/reviews?placeid=ChIJG_wVwLe3JIgRTflOqC8QXqM,ChIJG_wVwLe3JIgRTflOqC8QXqM,2026-07-22
"Kevin Lee, M.D. (SHP: Livonia)",0.778,https://search.google.com/local/reviews?placeid=ChIJLXJDgjyzJIgR14gbw14b66M,ChIJLXJDgjyzJIgR14gbw14b66M,2026-07-22
"Kevin Lee, M.D. (SHP: Sterling Heights)",-,https://search.google.com/local/reviews?placeid=ChIJi_Q0Vn7bJIgRpVLs853R8XA,ChIJi_Q0Vn7bJIgRpVLs853R8XA,2026-07-22
"Kevin Sorensen, D.P.M. (SHP Clinic: Southfield)",0.9121,https://search.google.com/local/reviews?placeid=ChIJRTfWHBG3JIgRmL6nzgYjQTY,ChIJRTfWHBG3JIgRmL6nzgYjQTY,2026-07-22
"Kristina Green, D.P.M. (SHP Clinic: Southfield)",0.5651,https://search.google.com/local/reviews?placeid=ChIJaYeRTx23JIgRvFyS3WLl_xA,ChIJaYeRTx23JIgRvFyS3WLl_xA,2026-07-22
