provider_or_location,entity_type,source,reviews,avg_rating,avg_sentiment,responded,dated_reviews,earliest_dated,latest_dated
SHP Clinic: Southfield,location,Google,4,5.0,0.97,3,0,,
SHP: Livonia,location,Google,25,5.0,0.98,0,0,,
SHP: Sterling Heights,location,Google,4,5.0,1.0,4,4,2026-06-30,2026-07-15
Alice Mendelson,provider,Google,3,5.0,0.97,3,3,2026-06-30,2026-07-17
Alice Mendelson,provider,WebMD,1,5.0,1.0,0,1,2026-07-14,2026-07-14
Andres Munk,provider,Google,1,5.0,0.92,1,1,2026-07-02,2026-07-02
Anthony Oddo,provider,Google,3,5.0,0.94,3,3,2026-07-08,2026-07-15
Anthony Oddo,provider,Healthgrades,1,5.0,0.89,0,1,2026-07-10,2026-07-10
Anthony Oddo,provider,WebMD,2,5.0,0.96,0,2,2026-06-30,2026-07-09
Ben Mayo,provider,Google,1,5.0,1.0,1,1,2026-06-30,2026-06-30
Brian Kassa,provider,Google,1,5.0,0.92,1,1,2026-07-08,2026-07-08
Brian Kassa,provider,Healthgrades,1,5.0,1.0,0,1,2026-07-10,2026-07-10
David Mendelson,provider,Google,3,5.0,0.96,3,3,2026-07-02,2026-07-21
Hanish Singh,provider,Vitals,1,5.0,0.92,0,1,2026-07-15,2026-07-15
Jeffrey Klein,provider,Google,1,5.0,1.0,1,1,2026-07-17,2026-07-17
Jeffrey Klein,provider,WebMD,2,5.0,0.96,0,2,2026-07-10,2026-07-17
Jeffrey Mendelson,provider,Google,2,5.0,0.97,1,2,2026-07-10,2026-07-21
Joseph Yacisen,provider,Google,1,5.0,1.0,1,1,2026-07-03,2026-07-03
Joseph Yacisen,provider,Healthgrades,1,5.0,1.0,0,1,2026-07-03,2026-07-03
Kevin Lee,provider,Google,3,5.0,0.96,3,3,2026-07-03,2026-07-07
Kevin Lee,provider,WebMD,1,5.0,1.0,0,1,2026-07-05,2026-07-05
Kevin Sorensen,provider,Google,2,5.0,1.0,2,2,2026-07-14,2026-07-21
Kyle Bohm,provider,Google,1,5.0,1.0,1,1,2026-07-08,2026-07-08
Kyle Bohm,provider,Healthgrades,1,5.0,1.0,0,1,2026-07-15,2026-07-15
Kyle Bohm,provider,Vitals,1,5.0,1.0,0,1,2026-07-08,2026-07-08
Kyle Bohm,provider,WebMD,1,5.0,0.92,0,1,2026-07-20,2026-07-20
Mohamed Salar,provider,Google,4,5.0,0.98,4,4,2026-06-27,2026-07-17
Mohamed Salar,provider,WebMD,1,5.0,0.92,0,1,2026-07-01,2026-07-01
Randy Leff,provider,Google,2,5.0,1.0,0,0,,
Scott McCarty,provider,Google,2,5.0,1.0,2,2,2026-07-08,2026-07-15
Stephen Mendelson,provider,Google,5,5.0,0.95,4,5,2026-07-03,2026-07-21
Stephen Mendelson,provider,WebMD,1,5.0,1.0,0,1,2026-07-10,2026-07-10
Tony Abood,provider,Google,2,5.0,1.0,2,2,2026-07-09,2026-07-16
