source,proposed_target,source_http,source_redirects_to_now,category,action_target,confidence,note
/specialties/spine-back-and-neck/lumbar-laminectomy/,/treatment/lumbar-laminectomy/,301,/treatment/laminectomy/ [200],superseded (site chose a different live target),,High,
/specialties/orthopedic-services/,/specialty/orthopedic-services/,301,/specialty/orthopedic-services/ [200],done,/specialty/orthopedic-services/,High,
/specialties/physical-therapy/,/specialty/physical-therapy/,301,/specialty/physical-therapy/ [200],done,/specialty/physical-therapy/,High,
/specialties/occupational-therapy/hand-therapy/,/treatment/hand-therapy/,301,/treatment/hand-therapy/ [200],done,/treatment/hand-therapy/,High,
/conditions-we-treat/hand-upper-extremity-conditions/carpal-tunnel-syndrome/,/conditions/carpal-tunnel-syndrome/,301,/conditions/carpal-tunnel-syndrome/ [200],done,/conditions/carpal-tunnel-syndrome/,High,
/providers/david-h-mendelson-md/,/providers/david-mendelson-md/,301,/providers/david-mendelson-md/ [200],done,/providers/david-mendelson-md/,High,
/specialties/occupational-therapy/custom-orthoses-splints/,/treatment/custom-orthoses-splints/,301,/treatment/custom-orthoses-splints/ [200],done,/treatment/custom-orthoses-splints/,High,
/providers/stephen-d-mendelson-md/,/providers/stephen-mendelson-md/,301,/providers/stephen-mendelson-md/ [200],done,/providers/stephen-mendelson-md/,High,
/conditions-we-treat/spine-neck-back-conditions/neck-fracture-broken-neck/,/conditions/neck-fracture-broken-neck/,301,/conditions/neck-fracture-broken-neck/ [200],done,/conditions/neck-fracture-broken-neck/,High,
/specialties/hand-upper-extremity/nerve-repair/,/treatment/nerve-repair/,301,/treatment/nerve-repair/ [200],done,/treatment/nerve-repair/,High,
/providers/kevin-r-lee-md/,/providers/kevin-lee-md/,301,/providers/kevin-lee-md/ [200],done,/providers/kevin-lee-md/,High,
/providers/jeffrey-b-klein-dpm/,/providers/jeffrey-klein-dpm/,301,/providers/jeffrey-klein-dpm/ [200],done,/providers/jeffrey-klein-dpm/,High,
/conditions-we-treat/hand-upper-extremity-conditions/hand-arthritis/,/conditions/hand-arthritis/,301,/conditions/hand-arthritis/ [200],done,/conditions/hand-arthritis/,High,
/specialties/pain-management/trigger-point-injection/,/treatment/trigger-point-injection/,301,/treatment/trigger-point-injection/ [200],done,/treatment/trigger-point-injection/,High,
/specialties/orthopedic-services/shoulder-arthroscopy/,/treatment/shoulder-arthroscopy/,301,/treatment/shoulder-arthroscopy/ [200],done,/treatment/shoulder-arthroscopy/,High,
/specialties/pain-management/peripheral-nerve-injection/,/treatment/peripheral-nerve-injection/,301,/treatment/peripheral-nerve-injection/ [200],done,/treatment/peripheral-nerve-injection/,High,
/specialties/pain-management/spinal-cord-stimulator/,/treatment/spinal-cord-stimulator/,301,/treatment/spinal-cord-stimulator/ [200],done,/treatment/spinal-cord-stimulator/,High,
/specialties/spine-back-and-neck/sacroiliac-joint-fusion/,/treatment/sacroiliac-joint-fusion/,301,/treatment/sacroiliac-joint-fusion/ [200],done,/treatment/sacroiliac-joint-fusion/,High,
