source,target
/conditions-we-treat/spine-neck-back-conditions/adolescent-scoliosis/,/conditions/scoliosis/
/conditions-we-treat/spine-neck-back-conditions/degenerative-disc-disease/,/conditions/degenerative-disc-disease/
/conditions-we-treat/spine-neck-back-conditions/scoliosis/,/conditions/scoliosis/
/conditions-we-treat/spine-neck-back-conditions/spinal-pain/,/specialty/spine-neck-back/
/conditions-we-treat/spine/herniated-disc/,/conditions/herniated-disc/
/conditions-we-treat/sports-injuries/,/specialty/sports-medicine/
/conditions-we-treat/total-joint-care/,/specialty/orthopedic-services/
/conditions-we-treat/total-joint-replacement-hip-knee-shoulder/,/specialty/orthopedic-services/
/conditions-we-treat/wrist-injuries-fractures/,/conditions/wrist-fracture/
/herniated-disc-microdiscectomy/,/treatment/microdiscectomy/
/locations/clinic-locations/southfield/spine-neck/,/specialty/spine-neck-back/southfield/
/our-providers/goo/,/providers/
/our-providers/orthopedics/herbert-mendelson-md/,/providers/specialty/orthopedics/
/our-providers/orthopedics/katie-rashid-sports-medicine/,/providers/specialty/sports/
/our-providers/pain-management/daniel-feldman-md/,/providers/specialty/pain-management/
/our-providers/pain-management/jason-mulawa-md/,/providers/specialty/pain-management/
/our-providers/podiatry/deepali-darji-podiatrist/,/providers/specialty/foot-ankle/
/our-providers/rheumatology/shironda-stewart-md/,/providers/
/our-providers/spine/andres-munk-md/,/providers/andres-munk-md/
/our-providers/spine/joel-phillips-md/,/providers/specialty/spine/
/our-providers/spine/martin-b-kornblum-md/,/providers/specialty/spine/
/providers/brian-fiani-do-facos/,/providers/specialty/spine/
/providers/chelsea-schoenmaker-pa-c/,/providers/
/providers/courtney-watson-pa-c/,/providers/
/providers/dr-hainish-singh-md/,/providers/hanish-singh-md/
/providers/jeffrey-r-mendelson-md/,/providers/jeffrey-mendelson-md/
/providers/kellyn-chapman-pa-c/,/providers/
/providers/kyle-bohm-md/null/,/providers/kyle-bohm-md/
/providers/martin-j-kornblum-md/,/providers/specialty/spine/
/providers/martin-kornblum-md/,/providers/specialty/spine/
/providers/orthopedics/david-h-mendelson-md/,/providers/david-mendelson-md/
/providers/orthopedics/emily-ren-md/,/providers/specialty/orthopedics/
/providers/orthopedics/herbert-mendelson-md/,/providers/specialty/orthopedics/
/providers/orthopedics/katie-rashid-sports-medicine/,/providers/specialty/sports/
/providers/orthopedics/peter-lasater-md/,/providers/specialty/orthopedics/
/providers/orthopedics/stephen-d-mendelson-md/,/providers/stephen-mendelson-md/
/providers/pain-management/anthony-j-oddo-do/,/providers/anthony-oddo-do/
/providers/pain-management/daniel-feldman-md/,/providers/specialty/pain-management/
/providers/pain-management/eduardo-icaza-md/,/providers/specialty/pain-management/
/providers/pain-management/m-wednesday-hall-do/,/providers/specialty/pain-management/
/providers/physician-assistant/,/providers/
/providers/physician-assistant/bradley-coon-pa-c/,/providers/
/providers/physician-assistant/courtney-watson-pa-c/,/providers/
/providers/physician-assistant/jamie-amster-pa-c/,/providers/
/providers/physician-assistant/natalie-arnold-pa-c/,/providers/
/providers/physician-assistant/sarah-havens-pa-c/,/providers/
/providers/podiatry/jeffrey-b-klein-dpm/,/providers/jeffrey-klein-dpm/
/providers/rachel-gracz-pt-ot-manager/,/providers/
/providers/rebecca-oros-pta-lmt/,/providers/
/providers/rheumatology/shironda-stewart-md/,/providers/
/providers/spine/joel-phillips-md/,/providers/specialty/spine/
/providers/stephen-e-mendelson-md/,/providers/stephen-mendelson-md/
/providers/terry-viviani-dc/,/providers/
/specialties/locations/livonia-orthopedics/directions/,/specialty/orthopedic-services/livonia/
/specialties/locations/warren-orthopedics/directions/,/specialty/orthopedic-services/
/specialty/hand-upper-extremity/livonia/,/specialty/hand-wrist/livonia/
/specialty/pain-management/,/treatment/pain-management/
/specialty/pain-management/ketamine-infusion/,/treatment/pain-management/
/specialty/spine-back-and-neck/port-huron-spine-neck-pain-dr-andres-munk/,/providers/andres-munk-md/
/conditions-we-treat/foot-ankle-conditions/ankle-sprain/,/specialty/foot-ankle-specialists/
