url,section,url_structure,subcategory,page_name,page_title,spine_related,status,gsc_clicks_apr2025_aug2026,gsc_impressions_apr2025_aug2026,gsc_impressions_last90d,ga4_pageviews_last12mo
https://synergyhealth.org/conditions/neck-fracture-broken-neck/,Conditions,/conditions/,,Neck Fracture Broken Neck,Neck Fracture Treatment | Broken Neck Care | Synergy Health,Yes,Live,232,82200,70088,130
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/neck-fracture-broken-neck/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Neck Fracture Broken Neck,Neck Fracture/Broken Neck | Synergy Health Partners,Yes,Live,88,39615,0,92
https://synergyhealth.org/conditions/back-fracture-break/,Conditions,/conditions/,,Back Fracture Break,Back Fracture Treatment | Spine Surgeons Michigan,Yes,Live,31,22368,18481,54
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/back-fracture-break/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Back Fracture Break,Back Fracture/Break | Synergy Health Partners,Yes,Live,16,10969,0,55
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/sciatica/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Sciatica,Manage Your Sciatica Pain | Expert Care at Synergy Health Partners,Yes,Live,4,6478,0,35
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/spinal-stenosis/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Spinal Stenosis,Understanding Spinal Stenosis Treatment | Symptoms and Care Options,Yes,Live,0,5586,0,91
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/,Conditions,/conditions-we-treat/,,Spine Neck Back Conditions,"Spine, Neck & Back Conditions | Synergy Health Partners",Yes,Live,7,3239,0,924
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/cervical-radiculopathy/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Cervical Radiculopathy,Cervical Radiculopathy | Synergy Health Partners,Yes,Live,0,2354,4,43
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/spondylolisthesis/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Spondylolisthesis,Spondylolisthesis | Synergy Health Partners,Yes,Live,2,2195,0,27
https://synergyhealth.org/conditions/ankylosing-spondylitis/,Conditions,/conditions/,,Ankylosing Spondylitis,Ankylosing Spondylitis Treatment | Synergy Health Partners,Yes,Live,3,2023,2023,73
https://synergyhealth.org/conditions/spondylolisthesis/,Conditions,/conditions/,,Spondylolisthesis,Spondylolisthesis Treatment Michigan | Synergy Health,Yes,Live,3,1219,1038,97
https://synergyhealth.org/conditions/cervical-radiculopathy/,Conditions,/conditions/,,Cervical Radiculopathy,Cervical Radiculopathy Treatment | Synergy Health Partners MI,Yes,Live,3,1211,1211,134
https://synergyhealth.org/conditions/arthritic-back-pain/,Conditions,/conditions/,,Arthritic Back Pain,Arthritic Back Pain Treatment | Synergy Health Partners,Yes,Live,0,1108,993,108
https://synergyhealth.org/conditions/spinal-stenosis/,Conditions,/conditions/,,Spinal Stenosis,Spinal Stenosis Treatment | Synergy Health Partners,Yes,Live,4,679,679,269
https://synergyhealth.org/conditions/herniated-disc/,Conditions,/conditions/,,Herniated Disc,Herniated Disc Treatment | Synergy Health Partners,Yes,Live,0,638,638,319
https://synergyhealth.org/conditions/scoliosis/,Conditions,/conditions/,,Scoliosis,Scoliosis Treatment | Spine Care | Southeast Michigan,Yes,Live,1,433,433,118
https://synergyhealth.org/conditions/si-joint-pain/,Conditions,/conditions/,,SI Joint Pain,SI Joint Pain Treatment | Synergy Health Partners Michigan,Yes,Live,2,422,422,84
https://synergyhealth.org/conditions/lumbar-stenosis/,Conditions,/conditions/,,Lumbar Stenosis,Lumbar Stenosis Treatment Michigan | Synergy Health,Yes,Live,1,341,341,128
https://synergyhealth.org/conditions/degenerative-disc-disease/,Conditions,/conditions/,,Degenerative Disc Disease,Degenerative Disc Disease Treatment Michigan | Synergy Health,Yes,Live,1,255,255,35
https://synergyhealth.org/conditions/sciatica/,Conditions,/conditions/,,Sciatica,Sciatica Treatment Michigan | Synergy Health Partners,Yes,Live,0,117,117,29
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/arthritic-back-pain/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Arthritic Back Pain,Arthritic Back Pain | Synergy Health Partners,Yes,Live,0,109,0,41
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/lumbar-stenosis/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Lumbar Stenosis,Lumbar Stenosis | Synergy Health Partners,Yes,Live,0,100,0,51
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/herniated-disc/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Herniated Disc,Herniated Disk Care And Treatment Options | Synergy Health Partners,Yes,Live,0,38,3,93
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/spinal-pain/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Spinal Pain,Spinal Pain | Synergy Health Partners,Yes,Live,0,30,29,4
https://synergyhealth.org/conditions-we-treat/head-neck-2/,Conditions,/conditions-we-treat/,,Head Neck 2,Comprehensive Treatment for Head and Neck Conditions: Find Relief Today,Yes,Live,0,3,0,1
https://synergyhealth.org/conditions-we-treat/neck-pain/,Conditions,/conditions-we-treat/,,Neck Pain,Diagnose & Treat Neck Pain With Providers At Synergy Health Partners,Yes,Live,0,0,0,5
https://synergyhealth.org/conditions-we-treat/sciatica/,Conditions,/conditions-we-treat/,,Sciatica,Sciatica | Synergy Health Partners,Yes,Live,0,0,0,2
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/adolescent-scoliosis/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,Adolescent Scoliosis,Adolescent Scoliosis | Synergy Health Partners,Yes,Live,0,0,0,6
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/si-joint-pain/,Conditions,/conditions-we-treat/,Spine Neck Back Conditions,SI Joint Pain,SI Joint Pain | Synergy Health Partners,Yes,Live,0,0,0,2
https://synergyhealth.org/conditions-we-treat/spine/herniated-disc/,Conditions,/conditions-we-treat/,Spine,Herniated Disc,Herniated Disc | Synergy Health Partners,Yes,Live,0,0,0,1
