report_week,company,mmc_company_id,book_tier,book_pl,ref_type,newpts_total,newpts_spine,newpts_podiatry,newpts_ortho_other,newpts_telehealth,pl_visit_before_appt,last_pl_visit,min_lag_days
Aug 14 report,Lakes Urgent Care - Livonia,73107e68-fc7f-46d0-bef4-ee26e9dc0099,Tier 1,Jasmine,Urgent care,4,0,1,3,0,yes,2026-07-21,14
Aug 14 report,Mike Morse Law Firm,2dd4a698-eeec-4552-98ba-d85b130bcc56,Tier 1,Kristen,Attorney / Legal,3,0,0,0,3,yes,2026-06-24,21
Aug 14 report,Lakewood Primary Care,39254718-ba1d-4862-adfb-cd292a8eda27,Unlisted,,PCP,2,2,0,0,0,yes,2026-06-22,44
Aug 14 report,"WAYNE COMMUNITY HEALTH CENTERS, INC",b89491cd-a8b2-4493-8dba-2e2146e504a0,Unlisted,,PCP,2,1,0,1,0,yes,2026-05-19,77
Aug 14 report,Frank Lanzilote DO-Family Practice,1d143d90-6122-41e7-ae14-c14d4e4317b4,Tier 1,Jasmine,PCP,2,0,0,2,0,yes,2026-07-31,3
Aug 14 report,MNP,40477f1c-8f50-4f86-8e7e-a5431b7f2fe6,Tier 1,Kristen,PCP,2,0,0,2,0,yes,2026-06-22,45
Aug 14 report,Doctors urgent care,5d20f222-29ea-4029-b53a-fb46b570224a,Prospect,Jasmine,Urgent care,2,0,0,2,0,yes,2026-07-30,7
Aug 14 report,Pulmonary & Medical Associates,dda630a5-9d61-49cd-bec6-61084e47ddb9,Tier 1,Kristen,PCP,2,0,0,2,0,yes,2026-07-13,23
Aug 14 report,Plymouth physical therapy specialist,06-472-9992,Unlisted,,Physical Therapy,1,1,0,0,0,yes,2026-07-21,14
Aug 14 report,Legend Health - Now One Health,078d2fa6-e81c-41d1-95f2-04234d511192,Tier 2,Kristen,PCP,1,1,0,0,0,yes,2026-05-27,70
Aug 14 report,Lily’s Medical Group,0aec7757-4391-42a3-94f2-3cfa9ea9aa99,Unlisted,,PCP,1,1,0,0,0,yes,2026-06-22,42
Aug 14 report,City Medical - Southgate,1326021262,Tier 2,Jasmine,PCP,1,1,0,0,0,yes,2026-04-22,105
Aug 14 report,Macomb Medical Clinic,1992782320,Tier 1,Coty,PCP,1,1,0,0,0,yes,2026-07-02,33
Aug 14 report,QuickDoc Urgent Care,20e3535a-e9f3-4760-9cd8-6e86789495da,Tier 1,Jasmine,Urgent care,1,1,0,0,0,yes,2026-05-12,86
Aug 14 report,Michigan Surgery Specialists PC,4c4aa1b6-62de-4eb2-ad73-9aecff9153dd,Unlisted,,Physician office (type not set),1,1,0,0,0,yes,2026-07-09,29
Aug 14 report,DMC Orthopedics - Commerce Township,568c9052-985c-48fa-b5bc-44baafba3dea,Tier 1,Kristen,Orthopedic,1,1,0,0,0,yes,2026-07-07,27
Aug 14 report,Lakeview Medical Center,64ed5116-24c0-4278-8d87-a7ca5f7d76c4,Tier 1,Coty,PCP,1,1,0,0,0,yes,2026-07-30,7
