pl,tier,id,account,ptype,verdict,note,spine,score,city,day,providers,payer,preflag,b2b,address,verdict_n
Sean,Tier 1,5271bbd8-dfe5-4d54-a0a2-f5547050cafe,Macomb Internal Medicine,PCP,Yes,,4,91,Clinton Township,S-D01,"Anu Duvoor, MD (2 spine) · Linda Kosal, DO (2 spine)",Comm/Medicare,,4,"15520 19 Mile Road, Suite 480, Clinton Township, MI, 48038",Yes
Sean,Tier 1,6aee51ce-625f-4968-96c5-5d9a6936bf27,MI Family Practice,PCP,Yes,,3,90,Warren,S-D02,"Matthew Garza, DO (2 spine) · Taras Lisowsky, DO (1 spine)",Comm/Medicare,,8,"11300 E 13 Mile Rd, Suite 1, Warren, MI, 48093",Yes
Sean,Tier 1,c88f05f1-5992-43b0-947c-469a44a0feef,Ryan Medical Associates,PCP,Yes,,2,82,Warren,S-D02,"Kevin A Agrest, DO (1 spine) · Christine England, NP (1 spine) · Jeffrey A Kraft, DO (1 ortho)",Comm/Medicare,,3,"21647 Ryan Rd, Warren, MI, 48091",Yes
Sean,Tier 1,33d0c0aa-7d47-450d-9673-71acb651321c,Michigan Compassionate Care,PCP,Yes,,2,82,Warren,S-D02,"Muhammad Vasiq, MD (2 spine) · Michigan Compassionate Care (2 ortho)",Comm/Medicare,,9,"28401 Hoover, Warren, Michigan, 48093",Yes
Sean,Tier 1,346a1335-a97f-4a1a-9847-77f9e71383c3,Get Well Urgent Care Madison Heights,Urgent Care,Yes,,2,82,Madison Heights,S-D03,Get Well Urgent Care - Madison Heights (1 spine) · Getwell Urgent Care- Madison Heights (1 spine),Mixed walk-in,,3,"350 E 12 Mile Rd, Madison Heights, Michigan, 48071",Yes
Sean,Tier 1,63bf16ad-3645-45fb-8f1d-e1eb3a131efc,Brigid Healthcare,PCP,Yes,,2,82,Troy,S-D03,"Hui Wang, PA (2 spine)",Comm/Medicare,,3,"3456 Rochester Rd, Troy, Michigan, 48083",Yes
Sean,Tier 1,1972593499,Sterling Physicians,PCP,Yes,,1,71,Sterling Heights,S-D03,"James Burtka, MD (1 spine)",Comm/Medicare,,1,"36040 Dequindre Road, Sterling Heights, Michigan, 48310",Yes
Sean,Tier 1,ce3b56cf-1381-41d0-b067-752448464958,Michigan Primary Care - Sterling Heights,PCP,Yes,,1,70,Sterling Heights,S-D01,"Aleksandra Tasevski, NP (1 spine)",Comm/Medicare,,1,"41400 Dequindre Rd, ste 121, Sterling Heights, Michigan, 48314",Yes
Sean,Tier 1,1205856432,Associates in Family Practice,PCP,Yes,,1,70,Sterling Heights,S-D01,"Fadi Oska, MD (1 spine)",Comm/Medicare,,2,"42755 Mound Rd, Sterling Heights, Michigan, 48314",Yes
Sean,Tier 1,62e680e9-a222-400d-9186-a369d13cf23f,Schoenherr Parkway Family Practice,PCP,Yes,,1,70,Sterling Heights,S-D01,"Mona Khater, MD (1 spine)",Comm/Medicare,,3,"13951 Plumbrook, Sterling Heights, Michigan, 48312",Yes
Sean,Tier 1,1bcc2e23-5fc1-428c-ad41-dc35c5345bf7,Get Well Urgent Care - Sterling Heights,Urgent Care,Yes,,1,70,Sterling Heights,S-D02,Get Well Urgent Care Of Sterling Heights (1 spine) · Get Well Urgent Care - Sterling Heights (1 ortho),Mixed walk-in,,2,"2567 Metro Parkway, Sterling Heights, Michigan, 48310",Yes
Sean,Tier 1,0b9485b1-39bd-4f21-8222-387834af8472,Kashat Urgent care,Urgent Care,Yes,,1,70,Sterling Heights,S-D03,"Ghazawan K Kashat, MD (1 spine)",Mixed walk-in,,1,"35200 Dequindre Road, Sterling Heights, Michigan, 48310",Yes
Sean,Tier 1,16c0ac85-6d3c-4c74-97b4-385a2a7fac00,Cornerstone Lakefront Internists,PCP,Yes,,1,70,St. Clair Shores,S-D04,"Benjamin Osowa, MD (1 spine)",Comm/Medicare,,1,"20952 Twelve Mile Rd ste 101, St. Clair Shores, Michigan, 48081",Yes
Sean,Tier 1,1043384555,Henry Ford Medical Center - East Jefferson,PCP,Yes,,1,70,Saint Clair Shores,S-D04,"Eshel Turk, MD (1 spine)",Mixed panel,,2,"24725 E Jefferson, Saint Clair Shores, MI, 48080",Yes
Sean,Tier 1,954353cc-a941-4b77-90f3-f3fb1c62e161,"DIAB AND KINNER INTERNAL MEDICINE, PC- use",PCP,Yes,,1,69,Warren,S-D02,"Carolann Kinner, DO (1 spine)",Comm/Medicare,,1,"29703 HOOVER RD STE A, WARREN, Michigan, 48093",Yes
Sean,Tier 1,1774d7c7-2d8b-42c6-9dac-78c2a9cf3ed8,Berkley Urgent Care,Urgent Care,Yes,,1,69,Berkley,S-D03,Berkley Urgent Care (1 spine),Mixed walk-in,,3,"3270 Greenfield Rd, Berkley, Michigan, 48072",Yes
Sean,Tier 1,1386634749,Tri-County Medical Clinic,PCP,Yes,,1,69,Sterling Heights,S-D03,"Kenneth J Wolok Do (1 spine) · Jeffrey S Deitch, DO (1 ortho)",Comm/Medicare,,2,"37450 DeQuindre Rd, Sterling Heights, MI, 48310",Yes
Sean,Tier 2,1700860103,Michigan Adult and Child Medicine,PCP,Yes,,0,56,Warren,S-D02,"Renee Y Paye, MD (2 ortho) · John Byrne, MD (1 ortho) · Jeffrey Fisher, MD (1 ortho)",Comm/Medicare,,4,"11885 E. 12 Mile Rd, Ste 100A, Warren, Michigan, 48093",Yes
Sean,Tier 2,719fbbb9-0131-4ed6-bfd7-14646d9c41fb,Sterling Heights Urgent Care,Urgent Care,Yes,,0,51,Sterling Heights,S-D01,Sterling Heights Urgent Care (2 ortho),Mixed walk-in,,3,"37771 Schoenherr Rd Suite 102, Sterling Heights, MI 48312, United States, Sterling Heights, Michigan, 48312",Yes
Sean,Tier 2,1750481842,Pioneer Medical Associates - Warren,PCP,Yes,,0,51,Warren,S-D02,Srinivas Koneru (1 ortho) · Robert Marcotte (1 ortho),Comm/Medicare,,2,"27540 Hoover Rd, Warren, MI, 480934505",Yes
Sean,Tier 2,1992798961,Downriver Internists,PCP,Yes,,0,50,Oak Park,S-D03,"Srinivas Gatla, MD (2 ortho)",Comm/Medicare,,2,"13801 W 9 Mile Rd, Oak Park, MI, 48237",Yes
Sean,Tier 2,c96dc780-a933-4f9f-aaa3-e1da22d0f35e,Roseville Family Practice,PCP,Yes,,0,50,Warren,S-D04,"Mark Holowinski, MD (2 ortho)",Comm/Medicare,,2,"28295 Schoenherr Road Suite C, Warren, Michigan, 48088",Yes
Sean,Tier 2,ec2dcadc-ce63-4324-aea0-52ae2b2bdd91,David S Weingarden MD & Associates,Orthopedic,Yes,,0,46,Clinton Township,S-D01,"David Davis, MD (1 ortho)",Comm/Medicare,,1,"43555 Dalcoma Dr suite 4 Clinton Twp, Clinton Township, Michigan, 48038",Yes
