Company ID,Company Name,Groups,Spine Tier,Spine Wave,Spine Target Score,Referral Evidence,2026 Spine Patients,Visit Frequency Days,Route Day,First Planned Week,Next Action,Assigned PL
6e52135e-6cca-4482-9973-58d180f1dce7,DMC SPORTS MEDICINE NOVI,Sports Medicine; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,100,Repeat Spine Referrer,7,14,J-D08,2026-08-17,"Protect: thank, learn and expand spine",Jasmine
92913d4d-edc4-462b-aecf-ef3f54198f09,Park Medical Centers,Kristen Strategic Account; Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,99,Repeat Spine Referrer,5,14,K-D05,2026-07-22,"Protect: thank, learn and expand spine",Kristen
c7781046-a235-49fa-ac8e-4b8d6354c618,Comprehensive Healthcare Associates and Prevention Medicine,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,99,Repeat Spine Referrer,6,14,J-D01,2026-07-27,"Protect: thank, learn and expand spine",Jasmine
64ed5116-24c0-4278-8d87-a7ca5f7d76c4,Lakeview Medical Center,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,99,Repeat Spine Referrer,7,14,C-D06,2026-07-27,"Protect: thank, learn and expand spine",Coty
e9020844-6b2a-43b6-9416-51116e859cc2,Schoenherr Family Practice,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,99,Repeat Spine Referrer,6,14,C-D07,2026-08-24,"Protect: thank, learn and expand spine",Coty
3b453978-15f0-429d-ab43-67d84178b21f,Kajy Law,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,98,Repeat Spine Referrer,5,14,K-D06,2026-08-03,"Protect: thank, learn and expand spine",Kristen
2dd4a698-eeec-4552-98ba-d85b130bcc56,Mike Morse Law Firm,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,98,Repeat Spine Referrer,75,14,K-D01,2026-07-27,"Protect: thank, learn and expand spine",Kristen
047f1f57-d796-4b0d-b2d0-b5d576ad50ea,Park Medical Centers - Canton,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,98,Repeat Spine Referrer,5,14,J-D03,2026-08-03,"Protect: thank, learn and expand spine",Jasmine
e1df3a06-b408-47d1-8333-8e5c30e7bc97,DMC PRIMARY AND SPECIALTY CARE WEST BLOOMFIELD,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,97,Repeat Spine Referrer,5,14,K-D07,2026-07-22,"Protect: thank, learn and expand spine",Kristen
b6033c7f-ac4e-4957-b3b0-519077da6c8d,Henry Ford Primary Care Center - 160,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,97,Repeat Spine Referrer,5,14,K-D02,2026-07-22,"Protect: thank, learn and expand spine",Kristen
83b9dec3-57ee-4777-b000-fcb1c228e6c7,Hesselberg Chiropractic,Kristen Strategic Account; Chiropractor; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,97,Repeat Spine Referrer,23,14,K-D05,2026-07-22,"Protect: thank, learn and expand spine",Kristen
8bd62ae0-e836-472d-84f6-a85688fd5524,Michigan Auto Law,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,97,Repeat Spine Referrer,10,14,K-D02,2026-07-22,"Protect: thank, learn and expand spine",Kristen
c9013f02-25d6-4df2-96f8-b4f1e9936878,Stonebrooke Family Physicians,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,97,Repeat Spine Referrer,5,14,K-D09,2026-07-22,"Protect: thank, learn and expand spine",Kristen
86e7413a-57df-4cba-adee-c6d0a8e55b63,Ross Law,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,96,Repeat Spine Referrer,5,14,K-D03,2026-07-22,"Protect: thank, learn and expand spine",Kristen
89b27066-bd8f-45eb-b2ec-e3196a89a16c,Applebaum & Stone,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,95,Repeat Spine Referrer,5,14,K-D10,2026-07-22,"Protect: thank, learn and expand spine",Kristen
5ffbe2ff-83ec-4e24-8d4f-4071334a9c5c,Vanstone Injury Law,Attorney; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,94,Repeat Spine Referrer,5,14,K-D11,2026-07-22,"Protect: thank, learn and expand spine",Kristen
568c9052-985c-48fa-b5bc-44baafba3dea,DMC Orthopedics - Commerce Township,Orthopedic Surgery; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,3,14,K-D07,2026-07-27,"Protect: thank, learn and expand spine",Kristen
31597599-5a74-4f7a-8cb0-0ebbb4b41303,Hermann Banks MD PC,Neurology; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,3,14,K-D08 swp,2026-08-17,"Protect: thank, learn and expand spine",Kristen
74262c96-dd4b-4b92-acd7-c43ebba4c04f,NORLIVO INTERNAL MEDICINE,Ortho; Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,3,14,J-D09,2026-07-22,"Protect: thank, learn and expand spine",Jasmine
5cb01f9c-faec-4c04-b600-f0eba085f6a3,Synergy Medical Primary Care,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,4,14,J-D04,2026-08-24,"Protect: thank, learn and expand spine",Jasmine
063204da-544e-4bdd-a18b-f483a5c16ad9,North Valley Internal Medicine,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,3,14,C-D09,2026-08-31,"Protect: thank, learn and expand spine",Coty
1225209075,Office of George Nassif MD,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,91,Repeat Spine Referrer,4,14,C-D08,2026-08-24,"Protect: thank, learn and expand spine",Coty
e19f7675-d86b-445b-ad8d-c06409bfde92,Levine Clinic of Chiropractic,Chiropractor; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,90,Repeat Spine Referrer,3,14,K-D03,2026-07-22,"Protect: thank, learn and expand spine",Kristen
3acfe2ff-d550-4785-99aa-a1ea91ef7da4,CANTON FAMILY HEALTH LLC,Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,90,Repeat Spine Referrer,4,14,J-D01,2026-07-27,"Protect: thank, learn and expand spine",Jasmine
03095e36-e586-4709-8cd8-440a98b9bcd7,Beaumont Medical Center - Redford,Kristen Strategic Account; Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,89,Repeat Spine Referrer,3,14,K-D01,2026-07-27,"Protect: thank, learn and expand spine",Kristen
be4c4280-49d5-443c-b413-3471ee753d27,GARDEN CITY FAMILY PHYSICIANS,Kristen Strategic Account; Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,89,Repeat Spine Referrer,3,14,K-D12,2026-07-27,"Protect: thank, learn and expand spine",Kristen
b70053c3-f0fd-41de-9386-95fcc448a738,Lifetime Family Care,Kristen Strategic Account; Internal Medicine/PCP; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,89,Repeat Spine Referrer,3,14,K-D06,2026-07-27,"Protect: thank, learn and expand spine",Kristen
20e3535a-e9f3-4760-9cd8-6e86789495da,QuickDoc Urgent Care,Urgent Cares; Spine T1 – 14d; Spine Wave 1,Tier 1,Wave 1,89,Repeat Spine Referrer,4,14,J-D05,2026-07-22,"Protect: thank, learn and expand spine",Jasmine
