Company ID,Company Name,Groups,Spine Tier,Spine Wave,Spine Target Score,Referral Evidence,2026 Spine Patients,Visit Frequency Days,Route Day,First Planned Week,Next Action,Assigned PL
1235164872,Kids First Pediatrics,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Ortho Referrer,0,,,,Removed: closed,Kristen
c53a52e1-de9e-438f-87b9-f80c5bf3c183,NICOLOFF HOLISTIC FAMILY MEDICINE,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Ortho Referrer,0,,,,Removed: holistic med - doesn't see reps,Kristen
377517aa-6082-4575-9083-498d5aca7ecb,GAMMONS MEDICAL,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Kristen
57c8b393-1204-4def-8cf0-5461a39e5e14,Blue Water Urgent Care,Non-Spine,Non-Spine (removed in Jul 31 validation),,,One Spine Patient,1,,,,Removed: 95% Medicaid,Kristen
b5b7ec36-68c2-4b3f-b1bc-7efada3e145f,Metropolitan Orthopedic Associates,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Kristen
c19d8067-80c5-4305-b690-7e5ee2391049,Henry Ford Athletic Medicine - Novi (relevance?),Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
bb1e72ee-479c-42da-96ea-e71d67a1c702,"Fox Run, PC(delete)",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
c7640a25-ed3b-4097-bda5-cd89202f64a1,Michigan Spine & Brain Surgeons,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: ortho opportunity,Jasmine
02dc2839-7a87-4f51-9ae8-528110ed4a8f,"MICHIGAN SPORTS AND SPINE CENTER, PC (not of value)",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Competition ,Jasmine
eaa06235-6a42-4ef9-9f14-9fd1b4ed4610,Michigan Spine & Brain - Novi,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: This would be for Ortho referrals ,Jasmine
69716ccc-b2b9-4d7b-8f77-69ecd79273be,PAIN MANAGEMENT ASSOCIATES OF MICHIGAN,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
c8be9bcd-087a-4081-93c4-84fb80a7d1d1,Concentra Urgent Care- Novi,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: has own team and specific guidelines of who they can and can't sent to.,Jasmine
ec7d6518-5eb7-4fca-a6b1-325f004d1ea6,WATCH US GROW PEDIATRICS,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
4e0ac17e-b678-4984-b1ba-e7825a2ed78e,MORSI PEDIATRICS,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
e35d1817-e4ef-431a-a979-74b7c8e2c0f0,WOODHAVEN PEDIATRICS,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
fea6a17c-c68b-43db-acd7-34a4abfe0024,Trinity Health IHA Brain & Spine Surgery - Ann Arbor Campus,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Ortho opportunity,Jasmine
24d003db-fb8e-4e51-adb0-77b396eef5de,"CHILD AND ADOLESCENT CENTER, PC",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Jasmine
96903a48-13a7-42e0-8f5e-a56cce365ea5,Anchor Bay Clinic Family Medical Center,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Now HF affiliated,Coty
b9b7ff1f-a14b-4733-af73-e7371152c69a,Macomb Family Medicine (Henry Ford) - Chesterfield,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1619909793,Dennis G Kelly DO,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1023116068,Center for Preventative Medicine,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
7e174398-087f-41d2-8f79-7c1a94c070e5,Henry Ford Macomb Orthopedic Surgery - Washington,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
66604f44-0a10-4e2a-8f1e-c4e00f0fb1dc,Partners in Family Medicine,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
da7a2e70-7373-4808-9950-99c98f41d55e,Blue Water Pain Specialists - Macomb,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
e33f4068-dcba-4ec6-a5b6-a0ce07fd66d3,Michigan Head & Spine Institute - Macomb,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
aaaaf0e6-b931-49ae-be22-319368bfc366,IHA Hand Surgery - Brighton,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
6abec30d-30ef-4f35-8e04-85112389bfb1,JOEL WELLNESS CLINIC,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
a320a856-33fb-458b-8907-d98101fceb1b,Roger D Ajluni MD PC,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
7ba5f22d-a044-4e77-9eae-086d15413f50,Beacon Orthopedics of Michigan - Livonia,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
80d59d4a-83b2-4eff-a6a5-58214e7bf1ba,Blue Water Pain Specialists - St Clair Shores,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
96920148-57be-4764-88fe-0131ee3733e7,Arora Hand Surgery - Warren,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1538237060,Henry Ford Medical Center - Beck Rd,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1fcb9ed3-4f7b-4998-b644-3c8f0d4fefba,UofM Northville Health Center,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
af12dee4-a837-45cd-b77e-ae4d5a1da5b3,Primary Care Services -Westland,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
844e3cfa-90dd-4405-b93e-8ec8a51a6b23,MSU SportsMEDICINE,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
20a601f2-ef2f-40db-b5ec-481cf50305de,Henry Ford Internal Medicine - Sterling Heights,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
c47f040d-217f-4526-bd80-92b1073a4d77,Foot & Ankle Specialists of Southeast Michigan - Warren,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Other Patient Referrer,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1609867985,Beaumont Neurosurgery,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
5bb9aa8b-846a-4a0b-ab77-289399d9b1b1,"Glowacki MD - Institute for Pain, Spine & Headache Disorders",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
c796443f-9c0a-4e5d-9f5a-df76d3e311bc,Ascension Providence Partners in Womens Health,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
2fc64685-2270-4f5f-827a-7788409cd5cd,Pulmonary & Internal Medicine Specialists,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
15d2de97-a164-4b7e-a3a2-15673271319b,Specialists in Spine Surgery - Garden City,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
0c7e4fda-32b4-4999-afc5-3ead3985f8c9,Michigan Orthopaedic & Spine Surgeons,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Other Patient Referrer,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
d606572a-912c-4bad-b906-c9a8d0479eff,Clarkston Medical Group - Oxford,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
172f7e80-1532-4f45-8c82-d3d09547c86d,David S Hollett MD,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
118d4718-8c24-42b0-ae12-a1975f146750,Henry Ford Macomb Orthopedics - Chesterfield,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1275554073,Chesterfield Family Medicine (Henry Ford),Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
d361f230-715e-4c7e-87a9-bf50246f42f4,Eastside Neurosurgery - Macomb,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
a2352347-063f-4a39-a0c1-25774fd3490b,Michigan Head & Spine Institute - Novi,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Other Patient Referrer,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1244d3ff-0839-4759-af42-e22dd1c77549,Niva Health,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
989f0eea-dc08-4445-9a51-ee7663255964,Michigan Spine Institute,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Other Patient Referrer,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
d52215b9-d874-4639-9ff2-a87b853ad52d,Adult Wellness & Internal Medicine,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
4dd7647d-ac5e-4f26-a696-b59cd2cfb219,Mid-Michigan Pain Specialty,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1235110537,Ortho Michigan - Flint,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
74360f7a-f042-4521-a7bb-a807dcb10282,Advance Urgent Care - Hartland,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
