Company ID,Company Name,PL,book_tier,joel_tier,joel_spine_trigger,joel_last_referral,applied_tier,reason
11ed7e07-a278-4fda-90ea-e3baede80121,Chronic Pain Institute,Coty,Tier 1,Tier 1,2026-06-23,2026-06-30,Tier 1,Joel agrees
7f81b39e-98cc-4f50-a8d8-daebc492d381,Gilead Pain Care,Coty,Prospect,Prospect,,,Prospect,Joel agrees
23a703a6-5bde-4887-845c-b78a61128817,The Family Doctor,Coty,Tier 1,Tier 1,2025-01-10,2026-08-31,Tier 1,Joel agrees
1841213436,Henry Ford Macomb Internal Medicine,Coty,Tier 1,Tier 1,2025-06-19,2026-07-22,Tier 1,Joel agrees
1376594887,Corondan Medical,Coty,Tier 2,Tier 2,,2026-08-27,Tier 2,Joel agrees
1285806067,DMC Orthopedics & Sports Medicine - Warren,Coty,Tier 1,Tier 1,2025-08-06,2026-02-17,Tier 1,Joel agrees
1407867815,Office of Steven Trombly MD,Coty,Tier 1,Tier 1,2026-04-14,2026-06-29,Tier 1,Joel agrees
1386634632,Somerset Family Medicine - Sterling Heights,Coty,Prospect,Prospect,,,Prospect,Joel agrees
235de96a-2ae5-47a2-bf9a-8379e846684a,Urgent Care Family,Coty,Tier 2,Tier 1,2026-07-22,2026-09-09,Tier 1,"Joel T1, spine referral 2026-07-22 (2026 evidence)"
fdefbf3e-907d-4d68-bbd3-2d70f4818b7a,Macomb Physicians Group,Coty,Tier 1,Tier 1,2025-01-22,2026-07-30,Tier 1,Joel agrees
1154437416,Shorepointe Family Physicians - St. Clair Shores,Coty,Prospect,Prospect,,,Prospect,Joel agrees
4522f3c1-4822-4912-a5d5-f88809b8ea59,Associated Orthopedists of Detroit-St Clair Shores,Coty,Prospect,Tier 2,,2025-08-27,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-08-27) — not applied
1700883345,Premier Family Physicians,Coty,Tier 2,Tier 2,,2026-06-17,Tier 2,Joel agrees
64ed5116-24c0-4278-8d87-a7ca5f7d76c4,Lakeview Medical Center,Coty,Tier 1,Tier 1,2025-07-28,2026-08-06,Tier 1,Joel agrees
f56a8949-cb8d-4abd-8405-0a939eec72d2,Shaun Jayakar MD,Coty,Tier 2,Tier 1,2025-06-23,2026-07-08,Tier 2,Joel T1 on 2025 spine (2025-06-23); a 2026 referral on 2026-07-08 but its service line is unknown — not applied; Joel to classify
2172a4d0-c6b7-4ef0-9ff2-813edfc3926f,Faye Maribao MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
55be614a-add9-4757-b0ed-33f0f5c4188d,Pointe Family Physicians,Coty,Prospect,Tier 1,2025-03-28,2025-09-12,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-03-28, last referral 2025-09-12) — not applied"
4efcc794-5368-4521-bd8a-152d222c2254,Bi-County Physicians,Coty,Prospect,Prospect,,,Prospect,Joel agrees
f7eb2b6e-6864-4576-879b-81a2bb775cb1,Gratiot Family Medicine,Coty,Tier 1,Tier 1,2026-06-25,2026-06-25,Tier 1,Joel agrees
1bdbcaac-c199-419d-b5a3-2b7eab4315d3,Gregory Gould DO,Coty,Prospect,Tier 1,2026-08-24,2026-08-24,Tier 1,"Joel T1, spine referral 2026-08-24 (2026 evidence)"
ff103539-b3cc-494b-9fec-e29f5fb4e469,Alliance Washington Township,Coty,Prospect,Tier 1,2025-02-26,2025-02-26,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-02-26, last referral 2025-02-26) — not applied"
7cad9994-b92b-43ee-a2f4-b18218515b2d,Washington Family Medicine,Coty,Prospect,Tier 2,,2025-02-10,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-02-10) — not applied
b1803bd8-c8ae-44c1-9f01-c4ad0f812ef5,Neuro Pain Consultants - Shelby,Coty,Prospect,Prospect,,,Prospect,Joel agrees
6d4858c6-18d3-4849-b136-42e2fcb84fe3,Get Well Urgent Care of Shelby,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1f3f6af6-8827-4f8a-97ff-61005f2d675d,Stonebridge Orthopedics,Coty,Prospect,Tier 2,,2025-09-19,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-09-19) — not applied
e9020844-6b2a-43b6-9416-51116e859cc2,Schoenherr Family Practice,Coty,Tier 1,Tier 1,2026-01-05,2026-06-04,Tier 1,Joel agrees
bf00683c-6b73-48ef-985a-d84796ddd18f,Macomb Family Medical Center,Coty,Prospect,Prospect,,,Prospect,Joel agrees
922579af-76c0-4a24-bd38-5e88491cece1,GREAT LAKES ORTHOPAEDICS,Coty,Prospect,Prospect,,,Prospect,Joel agrees
d96ab765-7e8d-447c-b9a1-72f2bcda2283,Vital Medicine,Coty,Tier 2,Tier 1,2025-09-08,2026-06-18,Tier 2,Joel T1 on 2025 spine (2025-09-08); a 2026 referral on 2026-06-18 but its service line is unknown — not applied; Joel to classify
e6dbc679-ce67-4b3e-9c16-e0ead17fbb3b,Rosemary Aquiler-Angeles MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
10-607-8064,Enhance Center - Livonia,Coty,Prospect,Prospect,,,Prospect,Joel agrees
5eb36bb9-fcd1-4d12-be8d-6cc4527f5a13,"GREAT LAKE PHYSICIANS, PC",Coty,Tier 2,Tier 1,2025-11-12,2026-06-10,Tier 2,Joel T1 on 2025 spine (2025-11-12); a 2026 referral on 2026-06-10 but its service line is unknown — not applied; Joel to classify
20ab0f4f-ab86-4054-a588-8d04b87ad7af,Michigan Physicians Group - Livonia,Coty,Prospect,Prospect,,,Prospect,Joel agrees
677326d2-4ba2-4a49-a6f1-e7633a9a8401,Faith Internal Medicine & Urgent Care,Coty,Tier 1,Tier 1,2025-11-17,2026-09-02,Tier 1,Joel agrees
5ba2b7d1-0a31-458d-95a0-4ba47f0574a0,MEDPRO PRIMARY CARE - Waltz Rd,Coty,Tier 1,Tier 1,2025-03-20,2026-07-17,Tier 1,Joel agrees
1982992715,Downriver Internists - Wayne,Coty,Prospect,Tier 2,,2026-07-30,Tier 2,"Joel Tier 2, last referral 2026-07-30 (2026 evidence)"
3358a741-9736-494f-b1fd-4bc0dbb4de9d,MDWELL -CO,Coty,Prospect,Tier 2,,2025-09-12,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-09-12) — not applied
de0072d8-2ca1-4e11-b11d-1fa82185fd49,James MacKenzie MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
f7a0c634-faf6-47d9-b4ce-461de261ee86,Ahad MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
e160ee5a-9916-41e2-b0c6-e2dae5007a6e,Troy Primary Care,Coty,Tier 2,Tier 2,,2026-06-16,Tier 2,Joel agrees
688d6dc6-9189-4fe3-8237-807c5059d797,"Office of Sasenarine Persaud, MD",Coty,Prospect,Prospect,,,Prospect,Joel agrees
1356443600,Preferred Medical Group,Coty,Tier 1,Tier 1,2025-09-25,2026-06-25,Tier 1,Joel agrees
