Company,Book PL (routes),MMC owner,Tier,City,Cell,Action
Premiere Pediatrics,Coty,Kristen Jones,Tier 1,City Of The Village Of Clarkston,C-A02,Joe: move to MMC owner? (Y/N)
HARTLAND PEDIATRICS,Coty,Kristen Jones,Prospect,Hartland,C-C01,Joe: move to MMC owner? (Y/N)
Trinity Health System Pain Institute,Coty,Jasmine Jones,Prospect,Ypsilanti,C-C07,Joe: move to MMC owner? (Y/N)
Office of Robert Vartabedian MD,Jasmine,Coty Oetjens,Tier 2,Plymouth,J-A05,Joe: move to MMC owner? (Y/N)
Macomb Internal Medicine,Kristen,Coty Oetjens,Tier 1,Clinton Township,K-A07,Joe: move to MMC owner? (Y/N)
Emcura Medical,Kristen,Coty Oetjens,Prospect,Bloomfield Hills,K-A14,Joe: move to MMC owner? (Y/N)
LIVINGSTON PEDIATRICS CENTER,Coty,Kristen Jones,Tier 1,Brighton,C-A07,Joe: move to MMC owner? (Y/N)
Epic Medical Center,Jasmine,Coty Oetjens,Tier 1,Southgate,J-A10,Joe: move to MMC owner? (Y/N)
Dynamic Healthcare,Jasmine,Kristen Jones,Tier 2,Sterling Heights,J-A03,Joe: move to MMC owner? (Y/N)
Rehabilitation Physicians - Howell,Jasmine,Coty Oetjens,Tier 3,Howell,J-A01,Joe: move to MMC owner? (Y/N)
