PL,Route Day,Accounts,Unique Locations,Primary Area,Tier 1 (proven) Stops,Spine Patients,Ortho Patients,Average Score,Shared-Building Stops,New Accounts (Aug 7),Not-sure Flags (Joel review),Day Build,Coordinate Quality,Google Maps Route
Kristen,K-R01,10,10,Southfield (10),5,88,26,67.6,2,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=23077%20GREENFIELD%20RD%20STE%20195%2C%20SOUTHFIELD%2C%20MI%2C%2048075&waypoints=29201%20Telegraph%20Rd%2C%20ste%20403%2C%20Southfield%2C%20MI%2C%2048034%7C29777%20Telegraph%20Rd%20suite%201555%2C%20Southfield%2C%20Michigan%2C%2048034%7C27177%20LAHSER%20RD%20STE%20104%2C%20SOUTHFIELD%2C%20MI%2C%2048034%7C26777%20Central%20Park%20Blvd%20suite%20300%2C%20Southfield%2C%20Michigan%2C%2048076%7C24901%20Northwestern%20Highway%2C%20Southfield%2C%20Michigan%2C%2048075%7C18000%20W%20Nine%20Mile%20Rd%20suite%201400%2C%20Southfield%2C%20Michigan%2C%2048075%7C22250%20Providence%20Drive%20%23702%2C%20Southfield%2C%20Michigan%2C%2048075%7C22250%20PROVIDENCE%20DR%20STE%20500%2C%20SOUTHFIELD%2C%20Michigan%7C23077%20Greenfield%20Rd%20suite%20400%2C%20Southfield%2C%20Michigan%2C%2048075
Kristen,K-R02,1,1,Ypsilanti (1),1,23,0,97.0,0,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=2900%20Packard%20Street%2C%20Ypsilanti%2C%20Michigan%2C%2048197
Kristen,K-R03,10,10,Farmington Hills (10),3,18,12,55.9,4,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=30055%20Northwestern%20Hwy%2C%20Farmington%20Hills%2C%20Michigan%2C%2048334&waypoints=29263%20Orchard%20Lake%20Road%2C%20Farmington%20Hills%2C%20Michigan%2C%2048334%7C28545%20Orchard%20Lake%20Rd%2C%20Farmington%20Hills%2C%20Michigan%2C%2048334%7C32255%20NORTHWESTERN%20HWY%20STE%20170%2C%20FARMINGTON%20HILLS%2C%20MI%2C%2048334%7C32255%20Northwestern%20Highway%2C%20Suite%20130A%2C%20Farmington%20Hills%2C%20MI%2C%2048334%7C32255%20NORTHWESTERN%20HWY%20STE%20130B%2C%20FARMINGTON%20HILLS%2C%20Michigan%2C%2048334%7C32255%20NORTHWESTERN%20HWY%20STE%20180%2C%20FARMINGTON%20HILLS%2C%20Michigan%2C%2048334%7C29645%20W%2014%20mile%20rd%2C%20ste%20110%2C%20FARMINGTON%20HILLS%2C%20Michigan%2C%2048334%7C31390%20Northwestern%20Hwy.%2C%20Ste%20C%2C%20Farmington%20Hills%2C%20Michigan%2C%2048334%7C30101%20Northwestern%20Hwy%2C%20Farmington%20Hills%2C%20Michigan%2C%2048334
Kristen,K-R04,10,10,Nan (6) • Bloomfield Township (1) • Bloomfield (1),5,12,9,60.9,0,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=51220%20Van%20Dyke%20Ave%20Shelby%20Township%2C%20Michigan%2C%2048316&waypoints=1%20William%20Carls%20Drive%2C%20Michigan%2C%2048382%7C2600%20Union%20Lake%20Rd%20suite%20140%20Commerce%20Township%2C%20Michigan%2C%2048382%7C7031%20Orchard%20Lake%20Rd%20West%20Bloomfield%20Township%2C%20Michigan%2C%2048322%7C6543%20TELEGRAPH%20RD%2C%20BLOOMFIELD%20TOWNSHIP%2C%20Michigan%7C36880%20Woodward%20Ave%20Bloomfield%20Township%2C%20Michigan%2C%2048304%7C43494%20Woodward%20Ave%20Bloomfield%20Township%2C%20Michigan%2C%2048302%7C43700%20WOODWARD%20AVE%20STE%20206%2C%20BLOOMFIELD%2C%20Michigan%2C%20MI%2048302%7C114%20Orchard%20Lake%20Rd%2C%20Pontiac%2C%20Michigan%2C%2048341%7C2157%20ORCHARD%20LAKE%20RD%2C%20SYLVAN%20LAKE%2C%20Michigan
Kristen,K-R05,10,10,Southfield (10),6,12,8,64.9,0,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=25899%20W%2012%20Mile%20Rd%2C%20Southfield%2C%20Michigan%2C%2048034&waypoints=29110%20Inkster%20Road%2C%20Suite%20150%2C%20Southfield%2C%20Michigan%2C%2048034%7C29355%20Northwestern%20Hwy%2C%20Southfield%2C%20Michigan%2C%2048034%7C29355%20Northwestern%20Hwy%20%23210%2C%20Southfield%2C%20Michigan%2C%2048034%7C29355%20NORTHWESTERN%20HWY%20STE%20120%2C%20SOUTHFIELD%2C%20MI%2C%2048034%7C29425%20NORTHWESTERN%20HIGHWAY%20STE%20330%2C%20Southfield%2C%20MI%2C%2048034%7C29275%20Northwestern%20Hwy%20suite%20202%2C%20Southfield%2C%20Michigan%2C%2048034%7C29255%20NORTHWESTERN%20HWY%20STE%20203%2C%20SOUTHFIELD%2C%20Michigan%7C29200%20Northwestern%20Hwy%2C%20Southfield%2C%20Michigan%2C%2048034%7C26400%20West%2012%20Mile%20Road%2C%20Southfield%2C%20Michigan%2C%2048034
Kristen,K-R06,10,10,Livonia (10),6,10,27,68.5,2,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=14700%20Farmington%20Rd%20suite%20105%2C%20Livonia%2C%20Michigan%2C%2048154&waypoints=19000%20St%20Joe%27s%20Pkwy%20suite%20200%2C%20Livonia%2C%20Michigan%2C%2048152%7C37508%20W%20SEVEN%20MILE%20RD%2C%20LIVONIA%2C%20Michigan%7C17800%20Newburgh%20Road%2C%20Livonia%2C%20Michigan%2C%2048152%7C33215%20W%20Seven%20Mile%20Rd%2C%20Livonia%2C%20Michigan%2C%2048152%7C20216%20Farmington%20Road%2C%20Livonia%2C%20Michigan%2C%2048152%7C33523%20Eight%20Mile%20Rd%20m2%2C%20Livonia%2C%20Michigan%2C%2048152%7C15604%20FARMINGTON%20RD%2C%20LIVONIA%2C%20MI%2C%2048154%7C14700%20Farmington%20Road%2C%20Suite%20103%2C%20Livonia%2C%20Michigan%2C%2048154%2C%20United%20States%2C%20Livonia%2C%20Michigan%2C%2048154%7C14700%20Farmington%20Rd%2C%20Livonia%2C%20Michigan%2C%2048154
Kristen,K-R07,10,10,Troy (5) • Rochester Hills (3) • Clawson (1),3,9,11,49.7,0,0,1,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=1136%20S%20%20Rd%20suite%20c%20Rochester%2C%20Rochester%2C%20Michigan%2C%2048307&waypoints=4600%20Investment%20Dr%2C%20ste%20300%2C%20Troy%2C%20MI%2C%2048098%7C1555%20W%20BIG%20BEAVER%20RD%20BLDG%20G%2C%20TROY%2C%20Michigan%7C3456%20Rochester%20Rd%2C%20Troy%2C%20Michigan%2C%2048083%7C1950%20E%20Wattles%20Rd%20suite%20101%2C%20Troy%2C%20Michigan%2C%2048085%7C2891%20E%20Maple%20Rd%20Ste%20102%2C%20Troy%2C%20MI%2C%2048083%7C21%20S%20Main%20St%2C%20Clawson%2C%20Michigan%2C%2048017%7C2940%20Crooks%20Rd%2C%20Rochester%20Hills%2C%20Michigan%2C%2048309%7C141%20Hampton%20Cir%2C%20Rochester%20Hills%2C%20MI%2C%2048307-4103%7C1349%20South%20Rochester%20Road%2C%20ste%20100%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307
Kristen,K-R08,10,10,Royal Oak (3) • Madison Heights (3) • Southfield (1),4,8,9,53.5,0,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=13801%20W%209%20Mile%20Rd%2C%20Oak%20Park%2C%20MI%2C%2048237&waypoints=29628%20Southfield%20Road%2C%20Southfield%2C%20Michigan%2C%2048076%7C2033%20CROOKS%20RD%2C%20ROYAL%20OAK%2C%20MI%2C%2048073%7C309%20E%20Eleven%20Mile%20Rd%20ste%20a%2C%20Royal%20Oak%2C%20Michigan%2C%2048067%7C215%20East%204th%20Street%2C%20Royal%20Oak%2C%20Michigan%2C%2048067%7C350%20E%2012%20Mile%20Rd%2C%20Madison%20Heights%2C%20Michigan%2C%2048071%7C28324%20Dequindre%20Road%2C%20Warren%2C%20Michigan%2C%2048092%7C26393%20Dequindre%20Rd%2C%20Madison%20Heights%2C%20Michigan%2C%2048071%7C31005%20John%20R%20Rd%20suite%20a%2C%20Madison%20Heights%2C%20Michigan%2C%2048071%7C2078%20E%20Big%20Beaver%20Rd%2C%20Troy%2C%20MI%2048083%2C%20United%20States%2C%20Troy%2C%20Michigan%2C%2048083
Kristen,K-R09,10,10,Warren (10),6,8,34,61.4,0,0,0,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=28111%20HOOVER%20RD%20STE%202A%2C%20WARREN%2C%20MI%2C%2048093&waypoints=27650%20Dequindre%20Road%2C%20Suite%202000%2C%20Warren%2C%20Michigan%2C%2048092%7C2539%20E%2012%20Mile%20Rd%2C%20Warren%2C%20MI%2C%2048092%7C29245%20Ryan%20Rd%20suite%20300%2C%20Warren%2C%20Michigan%2C%2048092%7C8600%20Chicago%20Road%20St%2C%20Warren%2C%20MI%2C%2048093%7C11270%20East%20Thirteen%20Mile%20Road%2C%20Warren%2C%20Michigan%2C%2048093%7C29703%20HOOVER%20RD%20STE%20A%2C%20WARREN%2C%20Michigan%2C%2048093%7C11885%20E.%2012%20Mile%20Rd%2C%20Ste%20100A%2C%20Warren%2C%20Michigan%2C%2048093%7C28401%20Hoover%2C%20Warren%2C%20Michigan%2C%2048093%7C28111%20HOOVER%20RD%20STE%201A%2C%20WARREN%2C%20Michigan
Kristen,K-R10,10,10,West Bloomfield (9) • West Bloomfield Township (1),4,8,6,51.2,0,0,1,"coordinate-clustered (MMC coords, Aug 7) — ex-Sean combined",Exact MMC coordinates,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=6901%20ORCHARD%20LAKE%20RD%2C%20WEST%20BLOOMFIELD%2C%20Michigan&waypoints=2300%20Haggerty%20Road%2C%20ste%201010%2C%20West%20Bloomfield%2C%20MI%2C%2048323%7C6525%20W%20MAPLE%20RD%20STE%20101E%2C%20WEST%20BLOOMFIELD%2C%20MI%2C%2048322%7C6530%20FARMINGTON%20RD%20STE%20LL-02%2C%20WEST%20BLOOMFIELD%2C%20MI%2C%2048322%7C6089%20W%20MAPLE%20RD%20STE%20200%2C%20WEST%20BLOOMFIELD%2C%20Michigan%7C6014%20W%20MAPLE%20RD%2C%20WEST%20BLOOMFIELD%2C%20Michigan%2C%20MI%2048322%7C5821%20W%20Maple%20Rd%20suite%20190%2C%20West%20Bloomfield%20Township%2C%20Michigan%2C%2048322%7C5799%20W%20MAPLE%20RD%20STE%20163%2C%20WEST%20BLOOMFIELD%2C%20MI%2C%2048322%7C5777%20W%20Maple%20Rd%2C%20Suite%20140%2C%20West%20Bloomfield%2C%20MI%2C%20483222267%7C6490%20Orchard%20Lake%20Road%2C%20West%20Bloomfield%20Township%2C%20Michigan%2C%2048322
