PL,Week,Week of,Day,Stops,Tier 1,Tier 2,Tier 3,Prospects,Spine Patients,Primary Area,Home Route Days,Finish-early Bonus,Google Maps Route
Coty,W2,2026-08-10,C-W2D1,10,4,3,0,3,6,Warren (7) • Roseville (2) • Sterling Heihhts (1),"R05, R06",Lakeview Medical Center · Troy Health Center,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=18285%20East%2010%20Mile%20Road%2C%20Roseville%2C%20Michigan%2C%2048066&waypoints=33703%20Van%20Dyke%20Ave%2C%20Sterling%20Heihhts%2C%20MI%2C%2048312%7C11300%20E%2013%20Mile%20Rd%2C%20Suite%201%2C%20Warren%2C%20MI%2C%2048093%7C8545%20Common%20Rd%2C%20Ste%20280%2C%20Warren%2C%20Michigan%2C%20480936772%7C11900%20Twelve%20Mile%20Rd%20suite%20300%2C%20Warren%2C%20Michigan%2C%2048093%7C11900%20E%2012%20Mile%20Rd%2C%20ste%20201%2C%20Warren%2C%20MI%2C%20480933490%7C28001%20Schoenherr%20Road%2C%20Warren%2C%20Michigan%2C%2048088%7C13430%2013%20Mile%20Rd%2C%20Warren%2C%20Michigan%2C%2048088%7C14050%2014%20Mile%20Rd%2C%20Warren%2C%20MI%2C%2048088%7C18303%20E%2010%20Mile%20Rd%20%23500%2C%20Roseville%2C%20Michigan%2C%2048066
Coty,W2,2026-08-10,C-W2D2,10,3,1,1,5,5,Berkley (5) • Southfield (1) • Oak Park (1),R04,Troy Health Center · Neurology Consultants of Southfield,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=4045%20West%2013%20Mile%20Road%2C%20Royal%20Oak%2C%20Michigan%2C%2048073&waypoints=18591%20W%2010%20Mile%20Rd%2C%20SOUTHFIELD%2C%20Michigan%2C%2048075%7C15300%20W%209%20Mile%20Rd%2C%20ste%201%2C%20Oak%20Park%2C%20MI%2C%2048237%7C1964%2011%20Mile%20Rd%2C%20Berkley%2C%20MI%2C%2048072%7C2635%20Coolidge%20Hwy%2C%20Berkley%2C%20MI%2C%2048072%7C3211%20Coolidge%20Hwy%2C%20Berkley%2C%20Michigan%2C%2048072%7C3345%20Coolidge%20Hwy%2C%20Berkley%2C%20MI%2C%2048072%7C1695%20Twelve%20Mile%20Rd%20ste%20200%2C%20Berkley%2C%20Michigan%2C%2048072%7C26711%20Woodward%20Ave%2C%20ste%20103%2C%20Huntington%20Woods%2C%20MI%2C%2048070%7C1200%20W%2012%20Mile%20Rd%2C%20Madison%20Heights%2C%20MI%2C%2048071
Coty,W2,2026-08-10,C-W2D3,10,5,1,0,4,7,Sterling Heights (4) • Clinton Township (4) • Macomb (1),"R02, R07",Prism Medical Group - Family Medicine Ste 240 · Prism Medical Group - Internal Medicine,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=36500%20Gratiot%20Ave%20suite%20102%2C%20Clinton%20Township%2C%20Michigan%2C%2048035&waypoints=5843%2017%20Mile%20Road%2C%20Sterling%20Heights%2C%20Michigan%2C%2048310%7C8244%20Metro%20Parkway%2C%20Sterling%20Heights%2C%20Michigan%2C%2048312%7C13801%2015%20Mile%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048312%7C15501%20Metro%20Parkway%2C%20Clinton%20Township%2C%20Michigan%2C%2048036%7C16570%2019%20Mile%20Rd%2C%20Clinton%20Township%2C%20Michigan%2C%2048038%7C43145%20Schoenherr%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048313%7C46591%20Romeo%20Plank%20Road%2C%20Macomb%2C%20Michigan%2C%2048044%7C21510%20Harrington%20St%20suite%20101%2C%20Clinton%20Township%2C%20Michigan%2C%2048036%7C38525%20Hilldale%20St%2C%20Michigan%2C%2048036
Coty,W2,2026-08-10,C-W2D4,10,2,1,0,7,4,Milford Charter Township (3) • Howell (2) • Milford (2),"R08, R21",Neurology Consultants of Southfield · Physicians in Family Medicine,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=1050%20Corporate%20Office%20Dr%2C%20Milford%2C%20Michigan%2C%2048381&waypoints=1225%20S%20Latson%20Rd%20%23200%2C%20Howell%2C%20Michigan%2C%2048843%7C1225%20S%20Latson%20Rd%20ste%20350%2C%20Howell%2C%20Michigan%2C%2048843%7C8273%20Grand%20River%20Ave%20ste%20220%2C%20Brighton%2C%20Michigan%2C%2048114%7C10850%20HIGHLAND%20RD%2C%20HARTLAND%2C%20Michigan%7C2330%20S%20Milford%20Rd%2C%20ste%20120%20Highland%2C%20Highland%20Charter%20Township%2C%20Michigan%2C%2048357%7C1501%20N%20Milford%20Rd%20ste%20200%2C%20Milford%20Charter%20Township%2C%20Michigan%2C%2048381%7C1435%20N.%20Milford%2C%20ste%20100%2C%20Milford%2C%20MI%2C%2048381%7C1435%20N%20Milford%20Rd%20suite%20200%20Milford%2C%20Milford%20Charter%20Township%2C%20Michigan%2C%2048381%7C600%20Highland%20Ave%20Milford%2C%20Milford%20Charter%20Township%2C%20Michigan%2C%2048381
Coty,W2,2026-08-10,C-W2D5,10,3,0,0,7,3,New Baltimore (5) • Macomb (1) • Lenox (1),R09,Prism Medical Group - Family Medicine Ste 240 · Prism Medical Group - Internal Medicine,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=9838%20Dixie%20Hwy%2C%20Fair%20Haven%2C%20mi%2C%2048023&waypoints=22701%20Hall%20Rd%20ste%20100%2C%20Macomb%2C%20Michigan%2C%2048042%7C50630%20Chesterfield%20Rd%2C%20New%20Baltimore%2C%20Michigan%2C%2048051%7C31225%2023%20Mile%20Rd%2C%20New%20Baltimore%2C%20Michigan%2C%2048047%7C34301%2023%20Mile%20Road%2C%20New%20Baltimore%2C%20MI%2C%2048047%7C36750%2026%20Mile%20Rd%2C%20ste%20220%2C%20New%20Baltimore%2C%20Michigan%2C%2048047%7C36750%2026%20Mile%20Rd%2C%20ste%20240%2C%20New%20Baltimore%2C%20Michigan%2C%2048047%7C36555%2026%20Mile%20Rd%20suite%203600%2C%20Lenox%2C%20Michigan%2C%2048048%7C58144%20Gratiot%20Ave%2C%20New%20Haven%2C%20Michigan%2C%2048048%7C66440%20Gratiot%20Ave%2C%20Richmond%2C%20Michigan%2C%2048050
Coty,W3,2026-08-17,C-W3D1,10,3,3,0,4,9,St. Clair Shores (5) • Saint Clair Shores (2) • Warren (1),"R01, R12",Shaun Jayakar MD · Oak Street Health - Eastgate,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=22646%20East%209%20Mile%20Road%2C%20Suite%20A%2C%20St%20Clair%20Shores%2C%20MI%2C%2048080&waypoints=23411%20Ryan%20Rd%2C%20Warren%2C%20MI%2C%2048091%7C19959%20Vernier%20Rd%2C%20Suite%20200%2C%20Harper%20Woods%2C%20MI%2C%2048225%7C22790%20Harper%20Ave%20ste%20c%20St%20Clair%20Shores%2C%20St.%20Clair%20Shores%2C%20Michigan%2C%2048080%7C23600%20Harper%20Ave%20ste%20103%20St%20Clair%20Shores%2C%20St.%20Clair%20Shores%2C%20Michigan%2C%2048080%7C24100%20Little%20Mack%20Ave%2C%20Saint%20Clair%20Shores%2C%20MI%2C%2048080%7C24715%20Little%20Mack%20Ave%20ste%20100%2C%20St.%20Clair%20Shores%2C%20Michigan%2C%2048080%7C24911%20Little%20Mack%20Ave%20Ste%20C%2C%20St.%20Clair%20Shores%2C%20Michigan%2C%2048080%7C25631%20Little%20Mack%20Ave%20suite%20102%2C%20St.%20Clair%20Shores%2C%20Michigan%2C%2048081%7C24800%20Harper%2C%20Saint%20Clair%20Shores%2C%20MI%2C%2048080
Coty,W3,2026-08-17,C-W3D2,10,3,1,0,6,3,Troy (5) • Sterling Heights (4) • Mi 48310 (1),"R14, R17",Troy Primary Care · Oakland Primary Care,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=3058%20Metro%20Pkwy%20ste%20204%2C%20Sterling%20Heights%2C%20Michigan%2C%2048310&waypoints=1627%20W%20Big%20Beaver%20Rd%2C%20Troy%2C%20Michigan%2C%2048084%7C1631%20W%20Big%20Beaver%20Rd%2C%20Troy%2C%20Michigan%2C%2048084%7C1500%20W%20Big%20Beaver%20Rd%2C%20Troy%2C%20Michigan%2C%2048084%7C135%20E%20Maple%20Rd%2C%20Troy%2C%20Michigan%2C%2048083%7C1560%20E%20Maple%20Rd%20ste%20200%2C%20Troy%2C%20Michigan%2C%2048083%7C2405%20E%2014%20Mile%20Rd%2C%20Sterling%20Heights%2C%20MI%2C%2048310%7C34220%20Ryan%20Road%20Sterling%20Heights%2C%20MI%2048310%2C%20MI%2C%2048310%7C5195%2015%20Mile%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048310%7C4845%20E%2014%20Mile%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048310
Coty,W3,2026-08-17,C-W3D3,10,2,3,0,5,2,Madison Heights (7) • Hazel Park (2) • Ferndale (1),R13,Oakland Primary Care · Troy Primary Care,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=27483%20Dequindre%20Rd%20suite%20301%2C%20Madison%20Heights%2C%20Michigan%2C%2048071&waypoints=911%20E%209%20Mile%20Rd%2C%20Ferndale%2C%20Michigan%2C%2048220%7C24503%20John%20R%20RD%2C%20HAZEL%20PARK%2C%20MI%2C%2048030%7C1142%20E%209%20Mile%20Rd%2C%20Hazel%20Park%2C%20Michigan%2C%2048030%7C26505%20John%20R%20Rd%2C%20Madison%20Heights%2C%20MI%2C%2048071%7C28200%20John%20R%20Road%2C%20Madison%20Heights%2C%20MI%2C%2048071%7C610%20E%2012%20Mile%20Rd%2C%20Madison%20Heights%2C%20MI%2C%20480712567%7C28091%20Dequindre%20Rd%20suite%20203%2C%20Madison%20Heights%2C%20Michigan%2C%2048071%7C27483%20DeQuindre%20Rd%20suite%20302%2C%20Madison%20Heights%2C%20Michigan%2C%2048071%7C27483%20Dequindre%20Rd%20suite%20306%2C%20Madison%20Heights%2C%20Michigan%2C%2048071
Coty,W3,2026-08-17,C-W3D4,10,1,3,0,6,1,Rochester Hills (5) • Sterling Heights (3) • Troy (2),R19,Troy Primary Care · Schoenherr Family Practice,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=4101%20John%20R%20Rd%2C%20Troy%2C%20Michigan%2C%2048085&waypoints=455%20Barclay%20Cir%2C%20Unit%20D%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C455%20Barclay%20Cir%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C555%20Barclay%20Circle%2C%20ste%20150%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C595%20Barclay%20Cir%20ste%20d%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20E%20South%20Blvd%20Ste%20150%2C%20Rochester%20Hills%2C%20MI%2048307%2C%20United%20States%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C43200%20Dequindre%20Rd.%2C%20Ste%20104%20Sterling%20Heights%2C%20MI%2048314%2C%20United%20States%2C%20Sterling%20Heights%2C%20Michigan%2C%2048314%7C43200%20Dequindre%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048314%7C38815%20Dequindre%20Rd%20suite%20103%2C%20Troy%2C%20Michigan%2C%2048083%7C3840%2017%20Mile%20Road%2C%20Sterling%20Heights%2C%20Michigan%2C%2048310
Coty,W3,2026-08-17,C-W3D5,10,1,1,2,6,1,Southfield (3) • Troy (3) • Farmington Hills (2),R16,Troy Primary Care · Faith Internal Medicine & Urgent Care,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=3290%20West%20Big%20Beaver%20Road%2C%20ste%20420%2C%20Troy%2C%20Michigan%2C%2048084&waypoints=28595%20Orchard%20Lake%20Road%2C%20ste%20200%2C%20Farmington%2C%20Michigan%2C%20483342977%7C32255%20NORTHWESTERN%20HWY%20STE%20100%2C%20FARMINGTON%20HILLS%2C%20Michigan%2C%2048334%7C32255%20NORTHWESTERN%20HWY%20STE%20165%2C%20FARMINGTON%20HILLS%2C%20Michigan%2C%2048334%7C26400%20West%2012%20Mile%20Rd%2C%20Suite%20170%2C%20Southfield%2C%20MI%2C%2048034%7C24725%20W%2012%20Mile%20Rd%2C%20Southfield%2C%20MI%2C%20480341801%7C29829%20Telegraph%20Rd%20suite%20200%2C%20Southfield%2C%20Michigan%2C%2048034%7C32270%20Telegraph%20Road%2C%20ste%20220B%2C%20Bingham%20Farms%2C%20Michigan%2C%2048025%7C3250%20W%20Big%20Beaver%20Rd%20%23144%2C%20Troy%2C%20Michigan%2C%2048084%7C3290%20W%20Big%20Beaver%20Rd%20ste%20150%2C%20Troy%2C%20Michigan%2C%2048084
