Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
1,Named Sean Priority,Priority route,Sean / Sean Sweeney,91,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Macomb Internal Medicine,5271bbd8-dfe5-4d54-a0a2-f5547050cafe,PCP,Clinton Township,"15520 19 Mile Road, Suite 480, Clinton Township, MI, 48038",Internal Medicine/PCP,4,0,0,4,2026-07-08 00:00:00,2026-07-10 00:00:00,6,1,3,12,Up to date,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Named focus account: Macomb Internal Medicine. Matched referral source(s): Duvoor MD, Anu; Kosal DO, Linda"
2,Named Sean Priority,Priority route,Sean / Sean Sweeney,90,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,MI Family Practice,6aee51ce-625f-4968-96c5-5d9a6936bf27,PCP,Warren,"11300 E 13 Mile Rd, Suite 1, Warren, MI, 48093",Internal Medicine/PCP,3,5,0,8,2026-07-07 00:00:00,2026-07-09 00:00:00,7,1,1,3,Unknown,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Named focus account: MI Family Practice. Matched referral source(s): GARZA DO, MATTHEW; Lisowsky DO, Taras"
3,Named Sean Priority,Priority route,Sean / Sean Sweeney,82,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Michigan Compassionate Care,33d0c0aa-7d47-450d-9673-71acb651321c,PCP,Warren,"28401 Hoover, Warren, Michigan, 48093",Internal Medicine/PCP,2,6,1,9,2026-05-11 00:00:00,2026-03-11 00:00:00,127,0,0,2,Unknown,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Named focus account: Michigan Compassionate Care. Matched referral source(s): Michigan Compassionate Care; Vasiq MD, Muhammad"
4,Named Sean Priority,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Associates in Family Practice,1205856432,PCP,Sterling Heights,"42755 Mound Rd, Sterling Heights, Michigan, 48314",Internal Medicine/PCP,1,1,0,2,2026-04-20 00:00:00,2026-06-05 00:00:00,41,0,1,15,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Named focus account: Associates in Family Practice. Matched referral source(s): Oska MD, Fadi"
5,Named Sean Priority,Priority route,Sean / Sean Sweeney,23,Tier 3,Other Patient Referrer,Other B2B / Cross-Sell,Beaumont Family Medicine - Sterling Heights,1952519001,PCP,Sterling Heights,"44250 Dequindre, Sterling Heights, MI, 483141002",Internal Medicine/PCP,0,0,1,1,2026-04-16 00:00:00,2026-06-10 00:00:00,36,0,3,42,Unknown,30,Likely Open – recent MMC visit,Cross-sell: qualify spine opportunity,Exact MMC coordinate,"Named focus account: Beaumont Family Medicine - Sterling Heights. Matched referral source(s): Eraqi MD, Hany"
6,Named Sean Priority,Priority route,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Henry Ford Medical Center - Warren,1932273448,PCP,Warren,"8600 Chicago Road St, Warren, MI, 48093",Internal Medicine/PCP,0,0,0,0,,2026-05-26 00:00:00,51,0,1,7,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,Named focus account: Henry Ford Medical Center - Warren. No deterministically attributed 2026 B2B patient in the supplied referral file
7,Named Sean Priority,Ownership review,Coty / Coty Oetjens,84,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Oakland Primary Care,1952660706,PCP,Warren,"27450 Schoenherr, ste 400, Warren, Michigan, 48088",Internal Medicine/PCP,2,4,0,6,2026-06-15 00:00:00,2026-06-18 00:00:00,28,1,1,14,Up to date,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Named focus account: Oakland Primary Care. Keep on Coty's route until ownership is reassigned. Matched referral source(s): Rahman MD, Uroob; Ryan Smith DO; Soffa DO, Jason; Soffa DO, Jason I; Soffa, Jason I"
8,Named Sean Priority,Ownership review,Coty / Coty Oetjens,72,Tier 1,One Spine Patient,Proven Spine / Protect,Macomb Medical Clinic,1992782320,PCP,Sterling Heights,"2405 E 14 Mile Rd, Sterling Heights, MI, 48310",Internal Medicine/PCP,1,10,1,12,2026-07-09 00:00:00,2026-07-02 00:00:00,14,1,2,6,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Named focus account: Macomb Medical Clinic. Keep on Coty's route until ownership is reassigned. Matched referral source(s): GIANCOLA PA, DAVID; Kurjakovic PA-C, Amar; MONTICCIOLO PA C, JILLIAN; Macomb Medical Clinic; Rosenberg DO, Mark S; TOBIA PA, BROOKE"
9,Named Sean Priority,Ownership review,Coty / Coty Oetjens,72,Tier 1,One Spine Patient,Proven Spine / Protect,Macomb Physicians Group,fdefbf3e-907d-4d68-bbd3-2d70f4818b7a,PCP,Sterling Heights,"8244 Metro Parkway, Sterling Heights, Michigan, 48312",Neurology;Internal Medicine/PCP,1,8,0,9,2026-07-07 00:00:00,2026-07-02 00:00:00,14,1,3,11,Up to date,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Named focus account: Macomb Physicians Group. Keep on Coty's route until ownership is reassigned. Matched referral source(s): Diora MD, Gordhan; Diora, Gordhan; KONERU MD, LALITHA; Stephen MD, Mark; Stephen MD, Mark  H"
10,Named Sean Priority,Ownership review,Coty / Coty Oetjens,53,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Lakeside Internal Medicine,1c5c4e69-60f0-4d66-a3ee-9a33e818a99b,PCP,St Clair Shores,"21000 Twelve Mile Rd Suite 105, St Clair Shores, Michigan, 48081",Internal Medicine/PCP,0,3,0,3,2026-03-10 00:00:00,2026-07-09 00:00:00,7,1,2,8,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Named focus account: Lakeside Internal Medicine. Keep on Coty's route until ownership is reassigned. Matched referral source(s): Skardarasy MD, Charles"
