PL,Company,Tier,Route Day,First Planned Visit,Spine Patients (since 6/2025),Total B2B (since 6/2025),Practice Type,Why added
Coty,ProMed Urgent Care and Primary Care,Prospect,C-R29,2026-09-07,0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Coty,WARREN PODIATRY,Prospect,C-R05,2026-09-28,0,1,Podiatry,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Coty,Foot & Ankle Specialists of Southeast Michigan - Warren,Prospect,C-R14,"W5 route (in flight) — joins this week’s run, added Sep 3",0,1,Podiatry,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Coty,Beacon Orthopedics of Michigan - Livonia,Tier 1,C-R07,2026-09-07,1,1,Orthopedic,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,Tedd March,Tier 1,C-R33,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,"BINING AND DAS, MEDICAL GROUP",Tier 1,C-R32,2026-09-14,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,DEARBORN HEIGHTS MEDICAL CENTER,Tier 1,C-R32,2026-09-14,1,1,Unknown,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,Great Lakes Medicine,Tier 1,C-R25,2026-09-14,5,5,PCP / IM / FM,Added Sep 3 per Joe — 5 spine / 5 total since 6/2025
Coty,Holistic Chiropractic,Tier 1,C-R32,2026-09-14,1,1,Chiropractor,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,JOEL WELLNESS CLINIC,Tier 1,C-R32,2026-09-14,2,4,Unknown,Added Sep 3 per Joe — 2 spine / 4 total since 6/2025
Coty,Kidz Care Clinic,Tier 1,C-R40,2026-09-14,1,1,Pediatrics,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,LIVINGSTON PEDIATRICS CENTER,Tier 1,C-R39,2026-09-14,1,2,Orthopedic,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Coty,McLaren Macomb Neurology,Tier 1,C-R25,2026-09-14,1,1,Neurology,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,Western Wayne Family Health Services,Tier 1,C-R32,2026-09-14,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Coty,M-15 Family Medical Center,Tier 1,C-R37,2026-09-21,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,McLaren Oakland Internal Medicine - Clarkston,Tier 1,C-R37,2026-09-21,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,Suzanne Romadan MD,Tier 1,C-R19,2026-09-21,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Coty,WATERFORD PRIMARY HEALTH SERVICES,Tier 1,C-R24,2026-09-21,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Coty,Forum Medical Clinic,Tier 1,C-R31,2026-09-28,1,3,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 3 total since 6/2025
Coty,Integrative Family Care,Tier 1,C-R31,2026-09-28,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Coty,Prism Medical Group - Internal Medicine & Pediatrics,Tier 1,C-R31,2026-09-28,1,3,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 3 total since 6/2025
Coty,Corewell East Area Family Practice - Roseville,Tier 2,C-R29,2026-09-07,0,4,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 4 total since 6/2025
Coty,Roger D Ajluni MD PC,Tier 2,C-R41,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Coty,FAMILY FIRST HEALTHCARE ARMADA,Tier 2,C-R40,2026-09-14,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Coty,1st Choice Urgent Care- Rochester,Tier 2,C-R43,2026-09-21,0,2,Urgent care,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Coty,"AIRPORT FAMILY PHYSICIANS, LLC",Tier 2,C-R37,2026-09-21,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Coty,Eastlake Cardiovascular,Tier 2,C-R19,2026-09-21,0,3,Cardiology,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Coty,Great Lakes Pediatrics,Tier 2,C-R43,2026-09-21,0,2,Pediatrics,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Coty,Harper Family Practice,Tier 2,C-R43,2026-09-21,0,4,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 4 total since 6/2025
Coty,John Vassallo MD -Howell,Tier 2,C-R38,2026-09-21,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Coty,Michigan Spine Institute,Tier 2,C-R37,2026-09-21,0,12,Neurology,Added Sep 3 per Joe — 0 spine / 12 total since 6/2025
Jasmine,UNIVERSITY PAIN CLINIC ASSOCIATES,Prospect,J-R08,2026-09-14,0,1,Pain,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Jasmine,Express health urgent care,Prospect,J-R16,2026-09-21,0,1,Urgent care,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Jasmine,"MICHAEL DUCATO, MD, PC",Prospect,J-R32,2026-09-21,0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Jasmine,Rehabilitation Physicians - Howell,Prospect,J-R10,2026-09-28,0,1,Physical Therapy,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Jasmine,Epic Medical Center,Tier 1,J-R32,2026-09-21,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Jasmine,UofM Canton Health Center Adult Medicine & Pediatrics,Tier 1,J-R22,2026-09-21,1,2,Pediatrics,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Jasmine,"WESTERN WAYNE PHYSICIANS, PLC",Tier 1,J-R16,2026-09-21,1,2,Unknown,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Jasmine,Village Medical - Walled Lake,Tier 1,J-R10,2026-09-28,2,4,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 4 total since 6/2025
Jasmine,Dynamic Healthcare,Tier 2,J-R26,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Jasmine,Michigan primary care center/urgent care,Tier 2,J-R16,2026-09-21,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,IEP urgent care Southfield,Prospect,K-R33,2026-09-07,0,1,Urgent care,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Kids First Pediatrics,Prospect,K-R33,2026-09-07,0,1,Pediatrics,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Emcura Immediate Care - Grosse Pointe,Prospect,K-R24,2026-09-14,0,1,Urgent care,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Oak Street Health - Pontiac,Prospect,K-R30,2026-09-14,0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,"PROGRESSIVE HEALTH CARE, PC",Prospect,K-R20,2026-09-28,0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Pediatric Consultants of Troy - Shelby Township,Prospect,K-R12,Deferred to next cycle — route due 2026-07-31,0,1,Pediatrics,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Imlay City Family Practice,Prospect,K-R32,Deferred to next cycle — route due 2026-08-31,0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Michigan urgent care and occupational health,Prospect,K-R21,"W5 route (in flight) — joins this week’s run, added Sep 3",0,1,Urgent care,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,PEDIATRIC AND ADOLESCENT CARE ASSOCIATES,Prospect,K-R21,"W5 route (in flight) — joins this week’s run, added Sep 3",0,1,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,ASCENSION MACOMB OAKLAND HOSPITAL MOTOR CITY INTERNISTS,Tier 1,K-R35,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Concentra Urgent Care - Sterling Heights,Tier 1,K-R34,2026-09-07,1,1,Urgent care,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Lakewood Primary Care,Tier 1,K-R34,2026-09-07,2,2,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 2 total since 6/2025
Kristen,Lily’s Medical Group,Tier 1,K-R33,2026-09-07,4,12,PCP / IM / FM,Added Sep 3 per Joe — 4 spine / 12 total since 6/2025
Kristen,"METROPOLITAN MEDICAL CENTER, PLLC",Tier 1,K-R37,2026-09-07,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,Macomb Pediatrics - Clinton Township,Tier 1,K-R34,2026-09-07,1,6,Pediatrics,Added Sep 3 per Joe — 1 spine / 6 total since 6/2025
Kristen,Mercy Family Care Center,Tier 1,K-R35,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,NORTHWAY MEDICAL CENTER,Tier 1,K-R38,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Oakland Medical Center,Tier 1,K-R35,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Office of Lillman Dwarka MD,Tier 1,K-R34,2026-09-07,1,3,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 3 total since 6/2025
Kristen,Professional Village Medical Center,Tier 1,K-R34,2026-09-07,2,4,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 4 total since 6/2025
Kristen,Sam Bernstein Law,Tier 1,K-R38,2026-09-07,0,3,Attorney / Legal,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,"TRUST FAMILY CARE CENTER, PLLC",Tier 1,K-R33,2026-09-07,2,3,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 3 total since 6/2025
Kristen,Trinity IHA Primary & Urgent Care - South Lyon,Tier 1,K-R38,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Trinity Medical Center,Tier 1,K-R35,2026-09-07,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,"WAYNE COMMUNITY HEALTH CENTERS, INC",Tier 1,K-R37,2026-09-07,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,Clinton Preferred Pediatrics,Tier 1,K-R30,2026-09-14,1,2,Pediatrics,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,Core Med  - White Lake,Tier 1,K-R30,2026-09-14,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,Hoover Primary Care Medical Group,Tier 1,K-R30,2026-09-14,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,MALI AND MALI PEDIATRICS - use this one,Tier 1,K-R30,2026-09-14,1,3,Pediatrics,Added Sep 3 per Joe — 1 spine / 3 total since 6/2025
Kristen,Macomb Neurology Associates,Tier 1,K-R30,2026-09-14,1,1,Neurology,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Middlebelt Medical Center,Tier 1,K-R11,2026-09-14,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,"ALAN L FELDMAN, DO, PC",Tier 1,K-R19,2026-09-21,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,Burhani Medical Center - use this one,Tier 1,K-R19,2026-09-21,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,Franklin Medical Consultants,Tier 1,K-R19,2026-09-21,1,1,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 1 total since 6/2025
Kristen,LAKES INTERNAL MEDICINE - 2150,Tier 1,K-R23,2026-09-21,1,2,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 2 total since 6/2025
Kristen,MICHIGAN PREMIER INTERNISTS,Tier 1,K-R13,2026-09-21,2,3,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 3 total since 6/2025
Kristen,White Lake Family Medicine,Tier 1,K-R23,2026-09-21,2,3,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 3 total since 6/2025
Kristen,Corewell Internal Medicine - Family Practice DEARBORN HEIGHTS,Tier 1,K-R20,2026-09-28,2,6,PCP / IM / FM,Added Sep 3 per Joe — 2 spine / 6 total since 6/2025
Kristen,Imad George MD P.C. MHP,Tier 1,K-R20,2026-09-28,1,5,PCP / IM / FM,Added Sep 3 per Joe — 1 spine / 5 total since 6/2025
Kristen,Care Choice LLC,Tier 2,K-R34,2026-09-07,0,5,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 5 total since 6/2025
Kristen,Chander Kanta MD,Tier 2,K-R37,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Corewell Health Urgent Care,Tier 2,K-R37,2026-09-07,0,2,Urgent care,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Correct Cornerstone Pediatrics - 9 Mile,Tier 2,K-R37,2026-09-07,0,3,Pediatrics,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,Covenant Community Care - Grosse Pointe,Tier 2,K-R37,2026-09-07,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,David Weissman MD,Tier 2,K-R35,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Eastlake Pediatrics,Tier 2,K-R37,2026-09-07,0,4,Pediatrics,Added Sep 3 per Joe — 0 spine / 4 total since 6/2025
Kristen,Elia & Ponto Law,Tier 2,K-R38,2026-09-07,0,1,Attorney / Legal,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,Evolve Chiropractic,Tier 2,K-R34,2026-09-07,0,2,Chiropractor,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Grace Medical of Troy,Tier 2,K-R35,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Maplecrest Medical Urgent Care,Tier 2,K-R34,2026-09-07,0,2,Urgent care,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Office of Clara Kamath Wood MD,Tier 2,K-R37,2026-09-07,0,9,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 9 total since 6/2025
Kristen,One Health,Tier 2,K-R38,2026-09-07,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,Pioneer Medical Associates,Tier 2,K-R37,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Priority Medical Center,Tier 2,K-R37,2026-09-07,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,SG PEDIATRICS,Tier 2,K-R38,2026-09-07,0,2,Pediatrics,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Schoenherr Internal Medicine,Tier 2,K-R34,2026-09-07,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,Shelby Pediatric Associates & Child Lung Center,Tier 2,K-R34,2026-09-07,0,2,Pediatrics,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,"AMITY INTERNAL MEDICINE, PC - MDVIP",Tier 2,K-R36,2026-09-14,0,3,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,Excel Health,Tier 2,K-R36,2026-09-14,0,6,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 6 total since 6/2025
Kristen,Giroux and Pappas Law,Tier 2,K-R36,2026-09-14,0,1,Attorney / Legal,Added Sep 3 per Joe — 0 spine / 1 total since 6/2025
Kristen,HENRY FORD WALK IN CLINIC,Tier 2,K-R36,2026-09-14,0,8,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 8 total since 6/2025
Kristen,Henry Ford Ascension St John Children's Center,Tier 2,K-R36,2026-09-14,0,4,Pediatrics,Added Sep 3 per Joe — 0 spine / 4 total since 6/2025
Kristen,Southfield Pediatrics,Tier 2,K-R36,2026-09-14,0,3,Pediatrics,Added Sep 3 per Joe — 0 spine / 3 total since 6/2025
Kristen,"ADULT MEDICAL CARE, PLLC",Tier 2,K-R14,2026-09-21,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,LIVONIA MEDICAL CLINIC,Tier 2,K-R14,2026-09-21,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Plymouth PT,Tier 2,K-R14,2026-09-21,0,2,Physical Therapy,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Trinity IHA Senior Primary Care,Tier 2,K-R14,2026-09-21,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Marshall Family Chiropractic,Tier 2,K-R29,2026-09-28,0,2,Chiropractor,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,Port Huron Family Care,Tier 2,K-R29,2026-09-28,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
Kristen,River District Family Practice (Henry Ford) - St. Clair,Tier 2,K-R27,2026-09-28,0,2,PCP / IM / FM,Added Sep 3 per Joe — 0 spine / 2 total since 6/2025
