Account / Practice,Assigned PL,Tier,Wave,Practice Type,MMC Company ID,2026 Spine Patients,2026 Total B2B Patients,Scrub Flag(s),Recommendation
Brentwood Pediatric Associates,Kristen,Tier 1,Wave 2,Pediatrics,9dfbaa38-07b2-4017-9d71-ff4cd2ce42f7,1,11,Pediatric (Jul 20 rule),KEEP - producing; verify relationship
Northpointe Pediatrics,Kristen,Tier 1,Wave 2,Pediatrics,31b0544c-cc2c-4479-9df9-b11748ecefc7,1,4,Pediatric (Jul 20 rule),KEEP - producing; verify relationship
IHA UNION LAKE PEDIATRICS,Kristen,Tier 1,Wave 2,Pediatrics,905d0bbb-d935-4258-8a1e-2e30d0a25987,1,1,Pediatric (Jul 20 rule),KEEP - producing; verify relationship
Providence Park Pediatrics - Novi,Kristen,Tier 1,Wave 2,Pediatrics,9db7de95-514d-45c7-8a73-449a08d1d590,1,6,Pediatric (Jul 20 rule),KEEP - producing; verify relationship
Premiere Pediatrics,Coty,Tier 1,Wave 2,Pediatrics,a8abc02a-95b9-4318-b876-60471f8fff0e,1,1,Pediatric (Jul 20 rule),KEEP - producing; verify relationship
Premier Pediatrics Dearborn Heights,Kristen,Tier 2,Wave 2,Pediatrics,bb55a71e-e12b-49be-9449-435cdc38cca4,0,4,Pediatric (Jul 20 rule),Review for removal
SUNNY PEDIATRICS AND FAMILY,Kristen,Tier 2,Wave 2,Pediatrics,2f39cd70-3e7f-4323-8222-52b01a24c007,0,7,Pediatric (Jul 20 rule),Review for removal
Clarkston Medical Group Adult & Pediatric Medicine,Coty,Tier 2,Wave 2,PCP,b24ac823-2845-4622-ad3b-eb46f7171bbb,0,1,Pediatric (Jul 20 rule),Review for removal
WELL BEING PEDIATRICS,Kristen,Tier 2,Wave 2,Pediatrics,e5e6ea92-d9c9-49c0-b1f3-b645b04e1adb,0,1,Pediatric (Jul 20 rule),Review for removal
PEDIATRIC AND ADOLESCENT CENTER,Jasmine,Tier 2,Wave 2,Pediatrics,31fe13d8-1060-4c98-bf75-61f09e803121,0,1,Pediatric (Jul 20 rule),Review for removal
Kids First Pediatrics,Kristen,Tier 2,Wave 2,Other / Verify,1235164872,0,1,Pediatric (Jul 20 rule),Review for removal
Michigan Spine Institute,Coty,Tier 3,Wave 2,Orthopedic,989f0eea-dc08-4445-9a51-ee7663255964,0,5,Ortho group w/ in-house spine? verify (Jul 20 rule),Review for removal
"MEDICAL CENTER PEDIATRICS, PLLC",Kristen,Tier 3,Wave 2,Pediatrics,137b9944-574d-47c1-9f8c-99541123fc30,0,1,Pediatric (Jul 20 rule),Review for removal
Michigan Head & Spine Institute - Novi,Coty,Tier 3,Wave 2,Orthopedic,a2352347-063f-4a39-a0c1-25774fd3490b,0,1,Ortho group w/ in-house spine? verify (Jul 20 rule),Review for removal
