week_start,program_week,checkins_total,checkins_kristen,checkins_jasmine,checkins_coty,checkins_sean,t1_total,t1_kristen,t1_jasmine,t1_coty,t1_sean,t2_total,t2_kristen,t2_jasmine,t2_coty,t2_sean,t3_total,t3_kristen,t3_jasmine,t3_coty,t3_sean,prospect_total,prospect_kristen,prospect_jasmine,prospect_coty,prospect_sean,nonspine_total,nonspine_kristen,nonspine_jasmine,nonspine_coty,nonspine_sean,unlisted_total,unlisted_kristen,unlisted_jasmine,unlisted_coty,unlisted_sean,newpts_total,newpts_spine,newpts_podiatry,newpts_ortho_other,newpts_telehealth,newpts_pl_touch60,newpts_spine_pl_touch60,newpts_source
2026-06-01,,190,46,47,52,45,20,6,4,5,5,25,9,7,5,4,4,1,3,0,0,66,5,28,32,1,1,0,0,1,0,74,25,5,9,35,60,6,4,43,7,42,4,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-06-08,,159,39,47,50,23,12,5,3,4,0,21,5,9,7,0,7,2,2,2,1,59,0,28,31,0,3,0,0,2,1,57,27,5,4,21,57,11,4,35,7,40,9,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-06-15,,117,45,30,42,0,15,10,0,5,0,18,3,5,10,0,4,1,2,1,0,43,3,21,19,0,7,0,1,6,0,30,28,1,1,0,63,12,6,34,11,48,7,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-06-22,,128,39,36,53,0,14,4,4,6,0,26,8,8,10,0,4,0,3,1,0,39,1,16,22,0,7,0,2,5,0,38,26,3,9,0,67,7,5,48,7,42,3,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-06-29,,124,30,52,42,0,17,8,3,6,0,14,6,5,3,0,1,0,1,0,0,49,0,27,22,0,5,1,1,3,0,38,15,15,8,0,39,8,3,26,2,29,7,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-07-06,,140,42,45,53,0,15,5,4,6,0,18,6,6,6,0,3,1,1,1,0,66,6,26,34,0,3,1,1,1,0,35,23,7,5,0,86,14,14,48,10,62,10,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-07-13,,119,20,45,54,0,13,5,2,6,0,15,3,4,8,0,4,0,3,1,0,65,5,32,28,0,4,1,2,1,0,18,6,2,10,0,61,4,10,36,11,39,1,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-07-20,,140,48,49,43,0,16,8,5,3,0,13,7,1,5,0,2,2,0,0,0,56,4,30,22,0,4,1,0,3,0,49,26,13,10,0,41,4,5,25,7,29,3,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-07-27,,118,36,44,38,0,10,5,4,1,0,17,5,8,4,0,4,2,2,0,0,46,6,17,23,0,1,1,0,0,0,40,17,13,10,0,58,10,6,34,8,38,5,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-08-03,W1,103,40,22,41,0,25,17,2,6,0,21,12,4,5,0,2,1,1,0,0,36,3,6,27,0,0,0,0,0,0,19,7,9,3,0,74,23,7,39,5,47,13,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-08-10,W2,139,42,55,42,0,35,17,9,9,0,30,13,11,6,0,5,2,1,2,0,57,3,32,22,0,2,0,1,1,0,10,7,1,2,0,76,12,10,49,5,58,9,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-08-17,W3,135,36,44,55,0,33,18,8,7,0,24,9,2,13,0,8,4,2,2,0,60,3,30,27,0,1,0,0,1,0,9,2,2,5,0,56,15,3,37,1,38,11,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
2026-08-24,W4,120,38,38,44,0,23,14,6,3,0,20,14,2,4,0,5,3,0,2,0,62,3,28,31,0,0,0,0,0,0,10,4,2,4,0,40,14,5,21,0,32,11,"master workbook B2B sections (Aug 28 rebuild, activities-attributed)"
