Campaign,Ad Group,Match Type,Keyword,Keyword (as entered),Status,Final URL (Phase 1 - launch with this),"Final URL (Phase 2 - proposed, after page build)",US Vol/mo,Action,Notes
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine specialist near me,[spine specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,5400,EXISTING,"8.9 conv, ROAS 0.81"
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine specialist,[spine specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,4400,EXISTING,16.7 conv
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine doctor near me,[spine doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,NEW,"phrase ver = $51 CPA, best in spine"
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine doctors,[spine doctors],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,REACTIVATE,"phrase ver paused w/ $21,223 spend, 76 conv"
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,orthopedic spine specialist near me,[orthopedic spine specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,590,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,ortho spine specialist,[ortho spine specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,5.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine pain specialist near me,[spine pain specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,170,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,best spine specialist near me,[best spine specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,back and spine specialist near me,[back and spine specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,320,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,spine doctors in my area,[spine doctors in my area],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,
