Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Neuro Pain Consultants - Clarkston,Pain Management,T1,Coty,Other/Metro,City of the Village of Clarkston,Michigan,48346,11,26,2026-07-07,9,Unknown
Village Medical - Novi,Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48377,7,42,2026-06-23,23,Unknown
Mathews Medical Center,PM&R,T1,Coty,Troy,Troy,MI,48083,7,42,2026-07-01,15,Unknown
Neuro Pain Consultants - Shelby,Pain Management,T1,Coty,Other/Metro,,Michigan,48315,7,0,2026-07-07,9,Unknown
Neurology Consultants of Southfield,Neurology,T1,Coty,Southfield,Southfield,MI,48034,7,28,2026-07-08,8,Unknown
"PRIZM PAIN SPECIALISTS, PLLC",Pain Management,T1,Jasmine,Livonia,Livonia,Michigan,48152,6,24,2026-07-16,0,Unknown
THE CORE INSTITUTE NOVI,Pain Management,T1,Jasmine,Livonia,NOVI,MI,48374,6,9,2026-06-22,24,Unknown
Detroit Ortho Institute,Spine,T1,Coty,Troy,Troy,Michigan,48083,6,12,2026-07-01,15,Unknown
Michigan Institute for Neurological Disorders (MIND) - Roseville,Pain Management,T1,Coty,Other/Metro,Roseville,Michigan,48066,6,64,2026-06-25,21,Unknown
Pain Clinic of Michigan - Troy,Pain Management,T1,Sean,Troy,Troy,Michigan,48085,6,9,2026-05-20,57,Unknown
Levine Clinic of Chiropractic,Chiropractic,T1,Kristen,Livonia,Farmington Hills,Michigan,48334,5,15,2026-05-08,69,Unknown
Buckle Family Chiropractic Ste 5,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48150,5,5,2026-07-16,0,Unknown
Endeavor chiropractic,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48152,5,10,2026-07-08,8,Unknown
FARMBROOK INTERVENTIONAL PAIN AND EMG,Pain Management,T1,Jasmine,Southfield,SOUTHFIELD,Michigan,MI 48034,5,12,2026-07-01,15,Unknown
Glazer Spine Center- use,Chiropractic,T1,Jasmine,Southfield,Southfield,Michigan,480341801,5,19,2026-07-09,7,Unknown
Henry Ford Family Medicine/Internal Medicine  - Novi,Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48377,5,96,2026-06-04,42,Unknown
Associates in Neurology,Neurology,T1,Coty,Livonia,Farmington Hills,Michigan,48334,5,45,2026-07-08,8,Unknown
Franklin Neurology,Neurology,T1,Coty,Livonia,Farmington Hills,Michigan,48334,5,10,2026-07-08,8,Unknown
Macomb Physicians Group,Neurology,T1,Coty,Sterling Heights,Sterling Heights,Michigan,48312,5,45,2026-07-02,14,Up to date
Michigan Neuroscience Clinic,Neurology,T1,Coty,Other/Metro,Taylor,Michigan,48180,5,25,2026-07-14,2,Unknown
Preferred Medical Group,PM&R,T1,Coty,Other/Metro,Madison Heights,MI,48071,5,45,2026-06-24,22,Unknown
Tri County Pain Consultants,Spine,T1,Coty,Livonia,FARMINGTON HILLS,Michigan,48334,5,5,2026-07-08,8,Unknown
"APPOLINE MEDICAL CLINIC, PC",Spine,T1,Jasmine,Livonia,Dearborn,Michigan,48126,4,4,2026-07-14,2,Unknown
Brackney Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Canton,Michigan,48187,4,16,2026-07-02,14,Unknown
Chiro-Care of Livonia,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48152,4,4,2026-06-19,27,Unknown
Everside Health,Pain Management,T1,Jasmine,Livonia,NOVI,Michigan,48375,4,5,2026-07-01,15,Unknown
Jolly Neurological Clinic PC,Neurology,T1,Jasmine,Livonia,Livonia,Michigan,48154,4,4,2026-07-09,7,Unknown
Michigan family wellness,Pain Management,T1,Jasmine,Other/Metro,CANTON,Michigan,48187,4,16,2026-07-02,14,Unknown
Michigan family Wellness,Chiropractic,T1,Jasmine,Other/Metro,Canton,Michigan,48187,4,4,2026-07-06,10,Unknown
Primecare of Novi,Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48375,4,28,2026-07-01,15,Unknown
"PRIMECARE URGENT CARE, PLLC",Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48375,4,8,2026-07-01,15,Unknown
SHEBA MEDICAL CENTER,Pain Management,T1,Jasmine,Livonia,DEARBORN,Michigan,48120,4,7,2026-05-20,57,Unknown
Southeast Michigan Rehab & Pain,Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48375,4,4,2026-07-10,6,Unknown
The Joint Chiropractic - Livonia,Chiropractic,T1,Jasmine,Livonia,Livonia,Michigan,48150,4,16,2026-06-19,27,Unknown
Tri County Neurology,Neurology,T1,Jasmine,Other/Metro,Eastpointe,Michigan,48021,4,12,2026-05-12,65,Unknown
Trinity IHA Academic Family Medicine - Livonia,Pain Management,T1,Jasmine,Livonia,LIVONIA,Michigan,48152,4,113,2026-07-16,0,Unknown
