Country,Impressions
United States,38320
United Kingdom,3065
India,2328
Canada,1638
Australia,1227
Philippines,626
South Africa,382
Ireland,324
New Zealand,274
Pakistan,251
Singapore,174
Germany,151
Malaysia,141
Indonesia,124
Nigeria,121
Japan,118
Netherlands,103
Mexico,102
Sweden,101
Spain,98
United Arab Emirates,96
Kenya,88
Italy,80
Egypt,75
Brazil,74
Bangladesh,70
Thailand,62
South Korea,61
Poland,60
Saudi Arabia,59
Turkey,53
Greece,51
Hong Kong,50
Jamaica,50
Russia,47
Ghana,45
Israel,37
Sri Lanka,37
Norway,36
Taiwan,34
Switzerland,33
Belgium,32
Iraq,32
Romania,32
Austria,31
Nepal,31
Qatar,31
Colombia,30
Vietnam,30
Finland,29
Trinidad & Tobago,29
Denmark,28
Slovakia,25
Czechia,24
Hungary,24
Bulgaria,23
Guyana,23
Puerto Rico,22
Chile,21
Ukraine,21
Portugal,20
Argentina,19
Croatia,18
Jordan,18
Lebanon,18
Costa Rica,17
Dominican Republic,16
Kuwait,16
Uganda,16
Zimbabwe,16
Algeria,15
Morocco,15
Malta,15
Oman,15
Cyprus,14
Ethiopia,14
Myanmar (Burma),13
Bahamas,12
Mauritius,12
Serbia,12
Tunisia,12
Zambia,12
Mongolia,11
Peru,11
Tanzania,11
Belize,10
Botswana,10
Nicaragua,10
Syria,10
Bahrain,9
Barbados,9
Estonia,9
Fiji,9
Isle of Man,9
Cambodia,9
China,8
Georgia,8
Lithuania,8
Macedonia,8
El Salvador,8
Slovenia,8
Uzbekistan,8
Bosnia & Herzegovina,7
Grenada,7
Jersey,7
Panama,7
Kosovo,7
Albania,6
Antigua & Barbuda,6
Guatemala,6
Paraguay,6
Rwanda,6
Suriname,6
U.S. Virgin Islands,6
Armenia,5
Belarus,5
Ecuador,5
France,5
Kazakhstan,5
Latvia,5
Maldives,5
Malawi,5
Namibia,5
Sudan,5
Yemen,5
Brunei,4
Guam,4
Honduras,4
Kyrgyzstan,4
St. Lucia,4
Somalia,4
St. Vincent & Grenadines,4
Venezuela,4
Bermuda,3
Bolivia,3
Cameroon,3
Iceland,3
Laos,3
Libya,3
Lesotho,3
Moldova,3
Papua New Guinea,3
Palestine,3
Swaziland,3
Uruguay,3
Aruba,2
Curaçao,2
Guinea,2
Kiribati,2
St. Kitts & Nevis,2
Luxembourg,2
Montenegro,2
Afghanistan,1
Angola,1
Anguilla,1
Bhutan,1
Congo - Kinshasa,1
Dominica,1
Faroe Islands,1
Gabon,1
Gibraltar,1
Gambia,1
Haiti,1
Iran,1
Liberia,1
Macau,1
Northern Mariana Islands,1
Mozambique,1
Mauritania,1
Niue,1
Nauru,1
St. Helena,1
Solomon Islands,1
Sint Maarten,1
Seychelles,1
Tonga,1
British Virgin Islands,1
